date,total_value,cash,positions_value,daily_return,drawdown
20230102,100000000,88556120,11443880,0.000000,0.000000
20230103,99667892,89833138,9834754,-0.003321,-0.003321
20230104,99714719,89833138,9881580,0.000470,-0.002853
20230105,99563973,89833138,9730835,-0.001512,-0.004360
20230106,99709481,89833138,9876343,0.001461,-0.002905
20230109,99901920,42315598,57586322,0.001930,-0.000981
20230110,99540732,42315598,57225134,-0.003615,-0.004593
20230111,99912695,42315598,57597097,0.003737,-0.000873
20230112,99960444,42315598,57644846,0.000478,-0.000396
20230113,100390291,42315598,58074692,0.004300,0.000000
20230116,100633155,42315598,58317556,0.002419,0.000000
20230117,100005467,42315598,57689869,-0.006237,-0.006237
20230118,99681894,42315598,57366295,-0.003236,-0.009453
20230119,99867198,42315598,57551600,0.001859,-0.007611
20230120,100067321,42315598,57751723,0.002004,-0.005623
20230125,101157591,42315598,58841993,0.010895,0.000000
20230126,102250129,34912527,67337602,0.010800,0.000000
20230127,103115220,34912527,68202693,0.008461,0.000000
20230130,102140162,34912527,67227635,-0.009456,-0.009456
20230131,101765449,34912527,66852922,-0.003669,-0.013090
20230201,102002331,40125827,61876504,0.002328,-0.010793
20230202,101884868,28889515,72995353,-0.001152,-0.011932
20230203,101962027,40347049,61614978,0.000757,-0.011184
20230206,101510955,52713696,48797260,-0.004424,-0.015558
20230207,101710133,52713696,48996438,0.001962,-0.013626
20230208,102687472,66704026,35983446,0.009609,-0.004148
20230209,102603819,66704026,35899793,-0.000815,-0.004960
20230210,102517642,66704026,35813617,-0.000840,-0.005795
20230213,102090555,78525963,23564592,-0.004166,-0.009937
20230214,102122006,78525963,23596043,0.000308,-0.009632
20230215,101772694,48127478,53645216,-0.003421,-0.013020
20230216,102690632,33233494,69457138,0.009019,-0.004118
20230217,101844537,58602265,43242272,-0.008239,-0.012323
20230220,102461880,58602265,43859615,0.006062,-0.006336
20230221,102451137,43309113,59142024,-0.000105,-0.006440
20230222,101197659,43309113,57888546,-0.012235,-0.018596
20230223,102078136,43309113,58769024,0.008701,-0.010058
20230224,101676104,43309113,58366991,-0.003938,-0.013956
20230227,100580550,43309113,57271437,-0.010775,-0.024581
20230228,100427636,43309113,57118523,-0.001520,-0.026064
20230302,101843750,55292676,46551074,0.014101,-0.012331
20230303,101555539,55292676,46262864,-0.002830,-0.015126
20230306,101672573,43649528,58023046,0.001152,-0.013991
20230307,101799464,31575576,70223888,0.001248,-0.012760
20230308,100409921,42453488,57956433,-0.013650,-0.026236
20230309,100122676,57197843,42924834,-0.002861,-0.029021
20230310,99540349,33401802,66138548,-0.005816,-0.034669
20230313,100516619,48710652,51805967,0.009808,-0.025201
20230314,98944832,60221201,38723631,-0.015637,-0.040444
20230315,99818671,60221201,39597470,0.008832,-0.031970
20230316,99845098,60221201,39623897,0.000265,-0.031713
20230317,100382128,60221201,40160927,0.005379,-0.026505
20230320,99647370,64216424,35430946,-0.007320,-0.033631
20230321,99279706,28572860,70706846,-0.003690,-0.037196
20230322,99526186,28572860,70953326,0.002483,-0.034806
20230323,99247498,28572860,70674638,-0.002800,-0.037509
20230324,99119873,28165783,70954090,-0.001286,-0.038746
20230327,98847486,28165783,70681703,-0.002748,-0.041388
20230328,98917412,28165783,70751628,0.000707,-0.040710
20230329,98489025,28165783,70323242,-0.004331,-0.044864
20230330,98663541,50430120,48233422,0.001772,-0.043172
20230331,98957614,26698853,72258760,0.002981,-0.040320
20230403,98172736,26698853,71473883,-0.007931,-0.047932
20230404,98062629,26698853,71363775,-0.001122,-0.048999
20230405,98326070,26698853,71627216,0.002686,-0.046445
20230406,97003671,38154270,58849401,-0.013449,-0.059269
20230407,97474636,26499893,70974743,0.004855,-0.054702
20230410,98155971,26499893,71656078,0.006990,-0.048094
20230411,99860579,26159688,73700890,0.017366,-0.031563
20230412,102149160,39118513,63030647,0.022918,-0.009369
20230413,101936120,39118513,62817607,-0.002086,-0.011435
20230414,101473000,20331986,81141014,-0.004543,-0.015926
20230417,100192777,20049056,80143721,-0.012616,-0.028342
20230418,99927853,34741015,65186838,-0.002644,-0.030911
20230419,100566477,38247943,62318535,0.006391,-0.024717
20230420,100130260,38247943,61882317,-0.004338,-0.028948
20230421,100157861,38247943,61909918,0.000276,-0.028680
20230424,99978227,49653797,50324430,-0.001794,-0.030422
20230425,100053950,49653797,50400153,0.000757,-0.029688
20230426,99119193,49653797,49465396,-0.009343,-0.038753
20230427,99375887,74555630,24820257,0.002590,-0.036264
20230428,98854542,74555630,24298912,-0.005246,-0.041320
20230502,99504502,62669326,36835176,0.006575,-0.035016
20230503,99281368,51100000,48181368,-0.002242,-0.037180
20230504,98909550,39239334,59670216,-0.003745,-0.040786
20230508,99515626,27485930,72029696,0.006128,-0.034908
20230509,99677591,24065888,75611703,0.001628,-0.033338
20230510,100057938,20933154,79124784,0.003816,-0.029649
20230511,100598325,20933154,79665171,0.005401,-0.024409
20230512,99336386,20933154,78403232,-0.012544,-0.036647
20230515,99208054,20933154,78274900,-0.001292,-0.037891
20230516,98044585,35264785,62779800,-0.011728,-0.049174
20230517,98740391,35155572,63584820,0.007097,-0.042427
20230518,99635431,20227639,79407792,0.009065,-0.033747
20230519,100310861,20073606,80237255,0.006779,-0.027196
20230522,100477699,20073606,80404093,0.001663,-0.025578
20230523,100167274,20073606,80093669,-0.003089,-0.028589
20230524,99743658,19979561,79764097,-0.004229,-0.032697
20230525,99960331,20038919,79921412,0.002172,-0.030596
20230526,100487757,34499411,65988346,0.005276,-0.025481
20230530,101143587,76246605,24896982,0.006526,-0.019121
20230531,101377363,76246605,25130758,0.002311,-0.016854
20230601,101544343,88099470,13444874,0.001647,-0.015234
20230602,102081797,73122394,28959402,0.005293,-0.010022
20230605,102345352,42745528,59599824,0.002582,-0.007466
20230607,103029653,27312219,75717434,0.006686,-0.000830
20230608,102948557,27312219,75636339,-0.000787,-0.001616
20230609,103673424,20776881,82896543,0.007041,0.000000
20230612,103218431,20776881,82441550,-0.004389,-0.004389
20230613,102910681,35306527,67604154,-0.002982,-0.007357
20230614,102377222,35306527,67070695,-0.005184,-0.012503
20230615,102024393,35459463,66564929,-0.003446,-0.015906
20230616,102848371,56973856,45874515,0.008076,-0.007958
20230619,102930352,56973856,45956496,0.000797,-0.007167
20230620,102356525,72013633,30342892,-0.005575,-0.012702
20230621,101888227,56800371,45087856,-0.004575,-0.017219
20230622,102221859,56800371,45421488,0.003274,-0.014001
20230623,101660623,44656144,57004479,-0.005490,-0.019415
20230626,102197234,59259312,42937922,0.005278,-0.014239
20230627,102845261,34613685,68231576,0.006341,-0.007988
20230628,102401149,34613685,67787464,-0.004318,-0.012272
20230629,102157853,34613685,67544167,-0.002376,-0.014619
20230630,103006914,34613685,68393229,0.008311,-0.006429
20230703,103814158,22219234,81594923,0.007837,0.000000
20230704,103881028,22219234,81661793,0.000644,0.000000
20230705,103506140,22219234,81286906,-0.003609,-0.003609
20230706,103063150,22219234,80843916,-0.004280,-0.007873
20230707,102408235,22428517,79979718,-0.006355,-0.014178
20230710,102427431,22428517,79998915,0.000187,-0.013993
20230711,102325810,21817035,80508775,-0.000992,-0.014971
20230712,102971245,26091344,76879900,0.006308,-0.008758
20230713,103083863,26091344,76992519,0.001094,-0.007674
20230714,105585986,26091344,79494641,0.024273,0.000000
