stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
207940,삼성바이오로직스,2023-01-02,1271542.25,2023-01-03,1234641.375,9,-332108.0,-0.0290,ES4 데드크로스,1
003670,포스코퓨처엠,2023-01-03,187353.609375,2023-01-26,182657.28125,26,-122105.0,-0.0251,ES4 데드크로스,15
005380,현대자동차,2023-01-03,137876.671875,2023-02-01,144813.890625,36,249740.0,0.0503,ES3 트레일링스탑,19
028260,삼성물산,2023-01-09,112258.1875,2023-02-03,108089.9453125,106,-441834.0,-0.0371,ES1 손절 -3%,17
051910,LG화학,2023-01-09,617244.25,2023-02-06,650876.125,19,639006.0,0.0545,ES3 트레일링스탑,18
035420,NAVER,2023-01-09,192365.8125,2023-02-08,225650.484375,62,2063650.0,0.1730,ES2 익절 +12%,20
068270,셀트리온,2023-01-26,150026.671875,2023-02-13,145949.84375,81,-330223.0,-0.0272,ES4 데드크로스,12
207940,삼성바이오로직스,2023-02-02,1248479.125,2023-02-17,1228491.25,9,-179891.0,-0.0160,ES4 데드크로스,11
051910,LG화학,2023-02-16,709237.375,2023-02-17,681540.5,21,-581634.0,-0.0391,ES1 손절 -3%,1
005930,삼성전자,2023-01-09,56970.71875,2023-03-02,57064.5859375,210,19712.0,0.0016,ES5 보유기간 초과,35
006400,삼성SDI,2023-03-06,776209.875,2023-03-08,749375.5625,15,-402515.0,-0.0346,ES1 손절 -3%,2
096770,SK이노베이션,2023-03-07,170055.65625,2023-03-08,164380.734375,71,-402919.0,-0.0334,ES1 손절 -3%,1
003550,LG,2023-02-21,76085.3359375,2023-03-09,73355.0,201,-548798.0,-0.0359,ES1 손절 -3%,11
005490,POSCO홀딩스,2023-02-15,298796.625,2023-03-13,300173.53125,51,70222.0,0.0046,ES4 데드크로스,17
105560,KB금융,2023-03-08,44404.99609375,2023-03-14,42474.3515625,271,-523205.0,-0.0435,ES1 손절 -3%,4
012330,현대모비스,2023-02-15,202131.421875,2023-03-20,203087.140625,75,71679.0,0.0047,ES4 데드크로스,22
003550,LG,2023-03-10,78178.5859375,2023-03-24,75539.2578125,152,-401178.0,-0.0338,ES1 손절 -3%,10
068270,셀트리온,2023-03-10,140151.71875,2023-03-30,134625.390625,85,-469738.0,-0.0394,ES1 손절 -3%,14
207940,삼성바이오로직스,2023-03-20,1248479.125,2023-03-30,1202353.125,9,-415134.0,-0.0369,ES1 손절 -3%,8
028260,삼성물산,2023-03-21,103069.1171875,2023-04-06,101458.671875,115,-185201.0,-0.0156,ES4 데드크로스,12
035720,카카오,2023-03-21,60742.87109375,2023-04-06,58448.8046875,196,-449637.0,-0.0378,ES1 손절 -3%,12
000660,SK하이닉스,2023-03-24,84921.7421875,2023-04-06,81799.46875,140,-437118.0,-0.0368,ES1 손절 -3%,9
055550,신한지주,2023-03-31,31303.833984375,2023-04-11,30683.955078125,379,-234934.0,-0.0198,ES4 데드크로스,7
068270,셀트리온,2023-04-06,144500.3125,2023-04-12,161985.3125,80,1398800.0,0.1210,ES2 익절 +12%,4
066570,LG전자,2023-04-14,112339.9453125,2023-04-18,108829.3203125,135,-473934.0,-0.0313,ES1 손절 -3%,2
035720,카카오,2023-04-14,60343.90625,2023-04-19,58448.8046875,60,-113706.0,-0.0314,ES1 손절 -3%,3
000660,SK하이닉스,2023-04-07,86972.9609375,2023-04-24,85118.3125,134,-248523.0,-0.0213,ES4 데드크로스,11
005930,삼성전자,2023-03-21,56595.30078125,2023-04-27,60982.22265625,210,921254.0,0.0775,ES5 보유기간 초과,27
003550,LG,2023-04-11,77723.53125,2023-04-27,78542.640625,154,126143.0,0.0105,ES4 데드크로스,12
055550,신한지주,2023-04-17,31436.662109375,2023-05-03,30861.056640625,9,-5180.0,-0.0183,ES4 데드크로스,11
000660,SK하이닉스,2023-05-02,88046.6953125,2023-05-09,85215.9296875,135,-382153.0,-0.0322,ES1 손절 -3%,4
005930,삼성전자,2023-05-04,61454.2265625,2023-05-10,60982.22265625,193,-91097.0,-0.0077,ES4 데드크로스,3
066570,LG전자,2023-05-10,112047.390625,2023-05-16,107756.625,133,-570672.0,-0.0383,ES1 손절 -3%,4
003550,LG,2023-05-09,82001.0546875,2023-05-17,80726.90625,182,-231895.0,-0.0155,ES4 데드크로스,6
012330,현대모비스,2023-04-06,206432.09375,2023-05-25,216944.84375,56,588714.0,0.0509,ES3 트레일링스탑,33
105560,KB금융,2023-05-18,43905.68359375,2023-05-26,42530.859375,340,-467440.0,-0.0313,ES1 손절 -3%,6
000270,기아,2023-03-31,72360.4453125,2023-05-30,76469.8046875,164,673935.0,0.0568,ES3 트레일링스탑,39
035420,NAVER,2023-05-08,202644.90625,2023-05-30,197260.609375,58,-312289.0,-0.0266,ES4 데드크로스,15
000660,SK하이닉스,2023-05-17,89706.125,2023-05-30,107666.8515625,165,2963520.0,0.2002,ES2 익절 +20%,8
028260,삼성물산,2023-05-03,103921.71875,2023-06-01,103163.859375,114,-86396.0,-0.0073,ES4 데드크로스,19
055550,신한지주,2023-05-24,31348.109375,2023-06-01,30728.228515625,3,-1860.0,-0.0198,ES4 데드크로스,5
003670,포스코퓨처엠,2023-05-25,326744.6875,2023-06-13,392693.15625,37,2440093.0,0.2018,ES2 익절 +20%,11
034730,SK,2023-05-19,154033.546875,2023-06-15,152935.90625,1,-1098.0,-0.0071,ES4 데드크로스,17
055550,신한지주,2023-06-05,31215.279296875,2023-06-16,30816.779296875,491,-195664.0,-0.0128,ES4 데드크로스,8
105560,KB금융,2023-06-09,43861.328125,2023-06-16,42841.30078125,149,-151984.0,-0.0233,ES4 데드크로스,5
003550,LG,2023-06-07,82092.0703125,2023-06-20,79998.8125,188,-393532.0,-0.0255,ES4 데드크로스,9
051910,LG화학,2023-06-02,713194.0625,2023-06-26,695388.9375,21,-373908.0,-0.0250,ES4 데드크로스,15
005930,삼성전자,2023-06-27,68534.2109375,2023-07-07,66314.6953125,180,-399513.0,-0.0324,ES1 손절 -3%,8
066570,LG전자,2023-07-03,123944.5078125,2023-07-07,119946.3046875,100,-399820.0,-0.0323,ES1 손절 -3%,4
006400,삼성SDI,2023-07-07,692725.125,2023-07-11,681792.5625,17,-185854.0,-0.0158,ES4 데드크로스,2
005490,POSCO홀딩스,2023-06-05,358337.25,2023-07-12,388573.59375,42,1269926.0,0.0844,ES5 보유기간 초과,26
005490,POSCO홀딩스,2023-07-12,388573.59375,2023-07-17,444881.875,31,1745557.0,0.1449,ES2 익절 +12%,3
005380,현대자동차,2023-06-21,176898.390625,2023-07-18,176012.171875,86,-76215.0,-0.0050,ES4 데드크로스,19
003670,포스코퓨처엠,2023-07-07,398188.875,2023-07-18,457642.40625,30,1783606.0,0.1493,ES2 익절 +12%,7
005930,삼성전자,2023-07-17,69540.3125,2023-07-20,67358.2734375,182,-397131.0,-0.0314,ES1 손절 -3%,3
096770,SK이노베이션,2023-07-20,167073.90625,2023-07-24,189004.171875,76,1666700.0,0.1313,ES2 익절 +12%,2
051910,LG화학,2023-07-19,679562.125,2023-07-27,650876.125,18,-516348.0,-0.0422,ES1 손절 -3%,6
006400,삼성SDI,2023-07-24,707633.125,2023-07-27,657939.8125,18,-894480.0,-0.0702,ES1 손절 -3%,3
012330,현대모비스,2023-06-27,219811.9375,2023-07-28,223167.296875,56,187900.0,0.0153,ES4 데드크로스,23
003550,LG,2023-07-20,79634.7734375,2023-07-28,76176.3359375,160,-553350.0,-0.0434,ES1 손절 -3%,6
000270,기아,2023-06-23,74504.4609375,2023-08-01,74415.125,163,-14562.0,-0.0012,ES5 보유기간 초과,27
035420,NAVER,2023-07-11,193681.828125,2023-08-01,228611.25,63,2200554.0,0.1803,ES2 익절 +12%,15
000660,SK하이닉스,2023-07-27,121358.328125,2023-08-02,116954.1953125,131,-576941.0,-0.0363,ES1 손절 -3%,4
035720,카카오,2023-08-01,54758.3515625,2023-08-02,53062.7421875,235,-398468.0,-0.0310,ES1 손절 -3%,1
055550,신한지주,2023-07-27,31604.8984375,2023-08-22,31425.060546875,503,-90458.0,-0.0057,ES4 데드크로스,17
003670,포스코퓨처엠,2023-08-28,471631.46875,2023-08-29,454644.75,26,-441655.0,-0.0360,ES1 손절 -3%,1
