date,total_value,cash,positions_value,daily_return,drawdown
20240102,100000,100000,0,0.000000,0.000000
20240103,100000,100000,0,0.000000,0.000000
20240104,100000,100000,0,0.000000,0.000000
20240105,100000,100000,0,0.000000,0.000000
20240108,100000,100000,0,0.000000,0.000000
20240109,99998,85057,14941,-0.000022,-0.000022
20240110,99906,55178,44729,-0.000914,-0.000936
20240111,99829,40307,59522,-0.000778,-0.001713
20240112,99419,40979,58440,-0.004108,-0.005814
20240116,100875,40979,59897,0.014653,0.000000
20240117,99988,40979,59009,-0.008798,-0.008798
20240118,100921,40979,59942,0.009331,0.000000
20240119,103035,40979,62056,0.020946,0.000000
20240122,103048,40979,62069,0.000125,0.000000
20240123,103095,54730,48366,0.000462,0.000000
20240124,104161,39114,65047,0.010335,0.000000
20240125,103913,57126,46787,-0.002379,-0.002379
20240126,101760,70979,30780,-0.020721,-0.023051
20240129,102843,70979,31864,0.010646,-0.012650
20240130,102624,70979,31644,-0.002133,-0.014756
20240131,101801,70979,30821,-0.008023,-0.022660
20240201,102320,70979,31341,0.005103,-0.017673
20240202,102929,70979,31949,0.005949,-0.011829
20240205,102095,70979,31115,-0.008103,-0.019836
20240206,102249,70979,31269,0.001509,-0.018357
20240207,103722,55470,48252,0.014412,-0.004209
20240208,104402,55470,48931,0.006548,0.000000
20240209,105514,55470,50044,0.010657,0.000000
20240212,104808,55470,49338,-0.006688,-0.006688
20240213,103975,71234,32740,-0.007955,-0.014590
20240214,104619,71234,33385,0.006202,-0.008479
20240215,104387,55657,48731,-0.002217,-0.010678
20240216,104113,40084,64029,-0.002632,-0.013281
20240220,103283,55166,48116,-0.007974,-0.021149
20240221,97029,66287,30742,-0.060547,-0.080416
20240222,98384,82746,15638,0.013963,-0.067576
20240223,98346,82746,15600,-0.000384,-0.067933
20240226,98414,82746,15668,0.000690,-0.067290
20240227,97774,83164,14611,-0.006500,-0.073353
20240228,97638,68705,28933,-0.001396,-0.074646
20240229,99079,68705,30374,0.014761,-0.060987
20240301,99478,68705,30773,0.004030,-0.057203
20240304,99685,82846,16840,0.002078,-0.055244
20240305,99666,82846,16821,-0.000189,-0.055423
20240306,100117,82846,17272,0.004525,-0.051148
20240307,100179,82846,17333,0.000614,-0.050565
20240308,99852,82846,17006,-0.003266,-0.053666
20240311,99095,99095,0,-0.007578,-0.060838
20240312,99095,99095,0,0.000000,-0.060838
20240313,99095,99095,0,0.000000,-0.060838
20240314,99095,99095,0,0.000000,-0.060838
20240315,99095,99095,0,0.000000,-0.060838
20240318,99095,99095,0,0.000000,-0.060838
20240319,99095,99095,0,0.000000,-0.060838
20240320,99095,99095,0,0.000000,-0.060838
20240321,99095,99095,0,0.000000,-0.060838
20240322,99095,99095,0,0.000000,-0.060838
20240325,99095,99095,0,0.000000,-0.060838
20240326,99095,99095,0,0.000000,-0.060838
20240327,99095,99095,0,0.000000,-0.060838
20240328,99095,99095,0,0.000000,-0.060838
20240401,99095,99095,0,0.000000,-0.060838
20240402,99095,99095,0,0.000000,-0.060838
20240403,99095,99095,0,0.000000,-0.060838
20240404,99095,99095,0,0.000000,-0.060838
20240405,99093,84399,14693,-0.000022,-0.060859
20240408,98853,84399,14453,-0.002421,-0.063132
20240409,98787,84399,14388,-0.000662,-0.063752
20240410,98869,84399,14470,0.000826,-0.062979
20240411,98959,69584,29375,0.000915,-0.062122
20240412,98613,98613,0,-0.003505,-0.065409
20240415,98613,98613,0,0.000000,-0.065409
20240416,98613,98613,0,0.000000,-0.065409
20240417,98613,98613,0,0.000000,-0.065409
20240418,98613,98613,0,0.000000,-0.065409
20240419,98613,98613,0,0.000000,-0.065409
20240422,98613,98613,0,0.000000,-0.065409
20240423,98613,98613,0,0.000000,-0.065409
20240424,98613,98613,0,0.000000,-0.065409
20240425,98613,98613,0,0.000000,-0.065409
20240426,98613,98613,0,0.000000,-0.065409
20240429,98610,84002,14609,-0.000022,-0.065430
20240430,98025,83330,14696,-0.005932,-0.070973
20240501,97423,97423,0,-0.006141,-0.076679
20240502,97423,97423,0,0.000000,-0.076679
20240503,97423,97423,0,0.000000,-0.076679
20240506,97419,68548,28871,-0.000044,-0.076720
20240507,97074,68548,28525,-0.003546,-0.079994
20240508,97373,53951,43422,0.003083,-0.077157
20240509,97143,53951,43192,-0.002358,-0.079333
20240510,97990,53951,44039,0.008720,-0.071305
20240513,98187,53951,44235,0.002003,-0.069445
20240514,99346,53951,45395,0.011811,-0.058455
20240515,100947,53951,46995,0.016108,-0.043289
20240516,100507,53951,46556,-0.004356,-0.047456
20240517,100311,53951,46360,-0.001944,-0.049308
20240520,101100,53951,47148,0.007858,-0.041838
20240521,100777,53951,46826,-0.003187,-0.044892
20240522,100376,53951,46424,-0.003987,-0.048700
20240523,100248,53951,46297,-0.001272,-0.049910
20240524,101213,53951,47262,0.009629,-0.040761
20240528,101444,53951,47492,0.002277,-0.038577
20240529,101190,53951,47239,-0.002498,-0.040978
20240530,98719,69365,29354,-0.024422,-0.064399
20240531,98224,69365,28858,-0.005020,-0.069096
20240603,97893,97893,0,-0.003367,-0.072230
20240604,97893,97893,0,0.000000,-0.072230
20240605,97893,97893,0,0.000000,-0.072230
20240606,97893,97893,0,0.000000,-0.072230
20240607,97893,97893,0,0.000000,-0.072230
20240610,97888,68690,29199,-0.000045,-0.072272
20240611,98092,54512,43580,0.002081,-0.070341
20240612,99568,54512,45056,0.015044,-0.056355
20240613,101722,54512,47210,0.021634,-0.035939
20240614,101984,72042,29942,0.002575,-0.033457
20240617,103109,56635,46474,0.011029,-0.022796
20240618,104295,56635,47660,0.011507,-0.011552
20240620,101854,87135,14719,-0.023403,-0.034685
20240621,101623,87135,14488,-0.002271,-0.036877
20240624,101223,87135,14087,-0.003941,-0.040672
20240625,101650,87135,14514,0.004217,-0.036627
20240626,101565,87135,14430,-0.000827,-0.037424
20240627,101593,87135,14458,0.000274,-0.037160
20240628,101764,87135,14629,0.001684,-0.035539
