stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
TEAM,Atlassian,2024-01-10,244.45421672058103,2024-01-12,236.763,61,-471.0,-0.0315,ES1 손절 -3%,2
BKNG,Booking,2024-01-12,3441.6088249511713,2024-01-23,3438.282640869141,4,-15.0,-0.0010,ES7 리밸런스 청산,6
AMD,AMD,2024-01-09,149.40925450134276,2024-01-25,180.14967182922362,100,3071.0,0.2057,ES2 익절 +20%,11
INTC,Intel,2024-01-24,48.48967582321166,2024-01-26,43.03005461883545,322,-1760.0,-0.1126,ES1 손절 -3%,2
ZS,Zscaler,2024-01-11,228.74852427673338,2024-02-13,242.55720304870604,65,895.0,0.0604,ES3 트레일링스탑,22
PDD,PDD Holdings,2024-02-16,135.39525450134275,2024-02-20,131.16870304870605,115,-488.0,-0.0312,ES1 손절 -3%,1
PANW,Palo Alto Networks,2024-02-07,182.43224999999998,2024-02-21,130.8540156097412,85,-4386.0,-0.2827,ES1 손절 -3%,9
CRWD,CrowdStrike,2024-01-10,282.32204855346674,2024-02-22,310.59909365844726,53,1496.0,0.1002,ES3 트레일링스탑,29
WDAY,Workday,2024-02-15,305.3950863342285,2024-02-27,294.75493780517576,51,-545.0,-0.0348,ES1 손절 -3%,7
CRWD,CrowdStrike,2024-02-28,321.2609424438476,2024-03-04,314.28540609741214,45,-316.0,-0.0217,ES7 리밸런스 청산,3
AMD,AMD,2024-02-27,178.17799999999997,2024-03-11,198.19160939025878,82,1639.0,0.1123,ES3 트레일링스탑,9
META,Meta,2024-04-05,524.7617863769531,2024-04-12,508.37947833251945,28,-461.0,-0.0312,ES1 손절 -3%,5
AVGO,Broadcom,2024-04-11,135.89856492614746,2024-04-12,135.7626663612213,109,-17.0,-0.0010,ES7 리밸런스 청산,1
CRWD,CrowdStrike,2024-04-29,304.3440485534668,2024-04-30,292.24746853637697,48,-583.0,-0.0397,ES1 손절 -3%,1
NVDA,NVIDIA,2024-04-30,86.44430625152587,2024-05-01,82.9156509475708,170,-602.0,-0.0408,ES1 손절 -3%,1
MU,Micron,2024-05-08,118.65718152618408,2024-05-30,125.3375496826172,123,819.0,0.0563,ES3 트레일링스탑,15
CRWD,CrowdStrike,2024-05-06,318.12780755615233,2024-06-03,308.38131243896487,45,-441.0,-0.0306,ES4 데드크로스,19
AVGO,Broadcom,2024-05-06,128.8060913543701,2024-06-03,129.68576669311523,113,97.0,0.0068,ES4 데드크로스,19
AVGO,Broadcom,2024-06-10,141.60105432128904,2024-06-14,170.21710945129394,103,2945.0,0.2021,ES2 익절 +20%,4
MU,Micron,2024-06-10,134.07110147094724,2024-06-20,143.10254278564454,109,982.0,0.0674,ES3 트레일링스탑,7
QCOM,Qualcomm,2024-06-17,213.9532414550781,2024-06-20,207.03985372924805,72,-500.0,-0.0323,ES1 손절 -3%,2
