date,total_value,cash,positions_value,daily_return,drawdown
20230103,100000,88030,11970,0.000000,0.000000
20230104,100461,83251,17210,0.004608,0.000000
20230105,100482,82832,17651,0.000215,0.000000
20230106,100779,82832,17948,0.002954,0.000000
20230109,100945,90838,10107,0.001643,0.000000
20230110,101194,90838,10356,0.002467,0.000000
20230111,101203,90838,10365,0.000087,0.000000
20230112,101228,90838,10390,0.000252,0.000000
20230113,101297,90838,10459,0.000677,0.000000
20230117,101088,90838,10249,-0.002064,-0.002064
20230118,101043,90838,10205,-0.000442,-0.002505
20230119,100792,83646,17146,-0.002484,-0.004983
20230120,101686,83646,18040,0.008867,0.000000
20230123,102204,89436,12769,0.005101,0.000000
20230124,102358,89436,12922,0.001506,0.000000
20230125,102413,89436,12977,0.000535,0.000000
20230126,103040,90678,12362,0.006119,0.000000
20230127,102883,90678,12205,-0.001521,-0.001521
20230130,102686,90678,12008,-0.001915,-0.003433
20230131,102759,78456,24304,0.000716,-0.002720
20230201,103463,78456,25007,0.006847,0.000000
20230202,103706,78456,25250,0.002349,0.000000
20230203,103370,47680,55691,-0.003239,-0.003239
20230206,102361,62521,39840,-0.009764,-0.012972
20230207,103049,62521,40528,0.006722,-0.006337
20230208,102051,62521,39530,-0.009683,-0.015958
20230209,101619,77172,24448,-0.004232,-0.020122
20230210,101547,77172,24376,-0.000709,-0.020817
20230213,101773,77172,24602,0.002225,-0.018638
20230214,101772,89333,12439,-0.000009,-0.018647
20230215,101883,89333,12550,0.001092,-0.017575
20230216,101736,89333,12402,-0.001449,-0.018999
20230217,101634,89333,12300,-0.001005,-0.019985
20230221,101343,89333,12010,-0.002855,-0.022783
20230222,101233,101233,0,-0.001094,-0.023852
20230223,101233,101233,0,0.000000,-0.023852
20230224,101233,101233,0,0.000000,-0.023852
20230227,101233,101233,0,0.000000,-0.023852
20230228,101233,91322,9911,0.000000,-0.023852
20230301,101344,91322,10022,0.001098,-0.022780
20230302,101444,91322,10122,0.000988,-0.021814
20230303,101611,79150,22461,0.001648,-0.020202
20230306,101541,67031,34510,-0.000692,-0.020881
20230307,101158,51940,49218,-0.003774,-0.024575
20230308,101499,20317,81182,0.003378,-0.021280
20230309,100009,20317,79691,-0.014687,-0.035655
20230310,98810,75988,22823,-0.011980,-0.047208
20230313,98756,85564,13191,-0.000554,-0.047736
20230314,99634,49835,49799,0.008898,-0.039263
20230315,100142,37908,62234,0.005093,-0.034370
20230316,102839,20578,82261,0.026936,-0.008360
20230317,102160,20558,81602,-0.006604,-0.014908
20230320,101978,20558,81420,-0.001783,-0.016665
20230321,102056,20442,81614,0.000767,-0.015910
20230322,101158,20328,80829,-0.008804,-0.024574
20230323,103239,20328,82911,0.020577,-0.004503
20230324,103153,20328,82824,-0.000838,-0.005338
20230327,102008,35163,66846,-0.011096,-0.016374
20230328,101394,46619,54776,-0.006015,-0.022291
20230329,102780,31471,71309,0.013663,-0.008933
20230330,103417,31471,71946,0.006196,-0.002792
20230331,104739,31471,73268,0.012787,0.000000
20230403,104857,20982,83875,0.001122,0.000000
20230404,104656,20982,83675,-0.001909,-0.001909
20230405,104126,31042,73083,-0.005070,-0.006969
20230406,104722,31042,73680,0.005729,-0.001280
20230410,104319,31042,73277,-0.003849,-0.005124
20230411,103943,31042,72900,-0.003610,-0.008715
20230412,103511,31155,72357,-0.004151,-0.012830
20230413,104990,31155,73835,0.014285,0.000000
20230414,105066,31155,73912,0.000729,0.000000
20230417,105198,21086,84112,0.001249,0.000000
20230418,105019,21086,83932,-0.001704,-0.001704
20230419,106377,37209,69168,0.012931,0.000000
20230420,106080,50371,55709,-0.002785,-0.002785
20230421,106531,34403,72128,0.004248,0.000000
20230424,106339,34521,71819,-0.001798,-0.001798
20230425,104834,34521,70313,-0.014156,-0.015928
20230426,105575,50067,55507,0.007065,-0.008976
20230427,107276,34195,73082,0.016118,0.000000
20230428,107369,21482,85887,0.000865,0.000000
20230501,106849,33798,73052,-0.004841,-0.004841
20230502,106582,21338,85244,-0.002505,-0.007334
20230503,106077,21338,84739,-0.004739,-0.012038
20230504,105454,21338,84116,-0.005868,-0.017836
20230505,106267,22878,83389,0.007706,-0.010267
20230508,106920,21452,85468,0.006145,-0.004185
20230509,106594,21319,85275,-0.003046,-0.007217
20230510,108016,21319,86696,0.013337,0.000000
20230511,108955,21803,87152,0.008694,0.000000
20230512,108534,35687,72847,-0.003862,-0.003862
20230515,109884,22024,87860,0.012434,0.000000
20230516,109952,22024,87928,0.000621,0.000000
20230517,111923,22024,89900,0.017931,0.000000
20230518,114629,22024,92605,0.024174,0.000000
20230519,114152,22024,92128,-0.004161,-0.004161
20230522,113222,22024,91198,-0.008145,-0.012273
20230523,112674,22024,90651,-0.004837,-0.017050
20230524,112645,35581,77063,-0.000262,-0.017308
20230525,114595,23028,91567,0.017313,-0.000295
20230526,118970,56839,62131,0.038176,0.000000
20230530,118537,39072,79464,-0.003641,-0.003641
20230531,117323,23491,93832,-0.010239,-0.013843
20230601,118758,23653,95105,0.012232,-0.001781
20230602,119165,35829,83335,0.003423,0.000000
20230605,117844,49876,67969,-0.011081,-0.011081
20230606,118250,49876,68374,0.003443,-0.007675
20230607,116977,49876,67101,-0.010768,-0.018361
20230608,117576,49876,67701,0.005129,-0.013326
20230609,118133,49876,68257,0.004730,-0.008659
20230612,119508,49876,69633,0.011643,0.000000
20230613,119939,49876,70064,0.003609,0.000000
20230614,120113,49876,70238,0.001449,0.000000
20230615,121387,24527,96860,0.010606,0.000000
20230616,120625,24126,96498,-0.006282,-0.006282
20230620,120125,24126,95998,-0.004142,-0.010398
20230621,118552,41985,76568,-0.013091,-0.023353
20230622,119523,41985,77538,0.008187,-0.015357
20230623,119075,61195,57880,-0.003748,-0.019047
20230626,119100,79183,39918,0.000212,-0.018839
