stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
ADBE,Adobe,2023-01-04,341.4100036621094,2023-01-05,328.44000244140625,14,-182.0,-0.0380,ES1 손절 -3%,1
BKNG,Booking,2023-01-03,1994.942138671875,2023-01-09,2167.910888671875,6,1038.0,0.0867,ES2 익절 +8%,4
TXN,Texas Instruments,2023-01-09,161.32144165039062,2023-01-19,156.07127380371094,31,-163.0,-0.0325,ES1 손절 -3%,7
NFLX,Netflix,2023-01-05,30.969999313354492,2023-01-23,35.742000579833984,162,773.0,0.1541,ES2 익절 +12%,11
PANW,Palo Alto Networks,2023-01-19,70.3550033569336,2023-01-26,79.55500030517578,171,1573.0,0.1308,ES2 익절 +12%,5
INTC,Intel,2023-02-03,29.23690414428711,2023-02-06,28.002227783203125,530,-654.0,-0.0422,ES1 손절 -3%,1
ISRG,Intuitive Surgical,2023-02-03,254.67999267578125,2023-02-09,244.17999267578125,60,-630.0,-0.0412,ES1 손절 -3%,4
TXN,Texas Instruments,2023-01-31,162.95848083496094,2023-02-14,162.15843200683594,75,-60.0,-0.0049,ES4 데드크로스,10
AVGO,Broadcom,2023-01-26,57.23099136352539,2023-02-22,55.088340759277344,216,-463.0,-0.0374,ES1 손절 -3%,18
AMAT,Applied Materials,2023-03-03,115.92174530029297,2023-03-10,111.46846008300781,105,-468.0,-0.0384,ES1 손절 -3%,5
GOOGL,Alphabet,2023-03-07,93.1561508178711,2023-03-10,89.95035552978516,162,-519.0,-0.0344,ES1 손절 -3%,3
AMD,AMD,2023-03-08,85.37000274658203,2023-03-10,82.66999816894531,178,-481.0,-0.0316,ES1 손절 -3%,2
TXN,Texas Instruments,2023-03-08,162.04812622070312,2023-03-10,157.83641052246094,93,-392.0,-0.0260,ES4 데드크로스,2
BKNG,Booking,2023-02-28,2477.71337890625,2023-03-13,2394.1640625,4,-334.0,-0.0337,ES1 손절 -3%,9
