date,total_value,cash,positions_value,daily_return,drawdown
20200401,100000,66415,33585,0.000000,0.000000
20200402,100528,66415,34113,0.005283,0.000000
20200403,99560,82543,17016,-0.009635,-0.009635
20200406,100002,82543,17459,0.004447,-0.005231
20200407,100002,82543,17458,-0.000009,-0.005240
20200408,100421,46603,53818,0.004195,-0.001067
20200409,101712,46603,55109,0.012854,0.000000
20200413,101086,59071,42015,-0.006155,-0.006155
20200414,102948,59071,43877,0.018419,0.000000
20200415,102607,59071,43537,-0.003307,-0.003307
20200416,103320,72649,30671,0.006948,0.000000
20200417,103524,72649,30874,0.001971,0.000000
20200420,103173,72649,30524,-0.003385,-0.003385
20200421,101645,77619,24026,-0.014813,-0.018149
20200422,102277,77619,24658,0.006220,-0.012042
20200423,102038,65506,36531,-0.002343,-0.014356
20200424,102643,77687,24956,0.005937,-0.008504
20200427,102941,53026,49915,0.002899,-0.005630
20200428,102422,40764,61659,-0.005039,-0.010641
20200429,105283,40764,64519,0.027928,0.000000
20200430,104781,40764,64017,-0.004765,-0.004765
20200501,103287,40764,62524,-0.014255,-0.018951
20200504,103798,52621,51177,0.004946,-0.014099
20200505,104522,52621,51901,0.006969,-0.007228
20200506,104646,52621,52025,0.001194,-0.006043
20200507,105843,36745,69097,0.011431,0.000000
20200508,107396,36745,70650,0.014673,0.000000
20200511,108513,34923,73590,0.010401,0.000000
20200512,106733,34923,71810,-0.016403,-0.016403
20200513,106303,34923,71380,-0.004028,-0.020365
20200514,107704,34923,72782,0.013185,-0.007449
20200515,108984,21938,87045,0.011877,0.000000
20200518,111148,21938,89210,0.019861,0.000000
20200519,111037,21938,89099,-0.000997,-0.000997
20200520,112635,36401,76234,0.014394,0.000000
20200521,111392,36401,74991,-0.011041,-0.011041
20200522,112031,36401,75629,0.005736,-0.005368
20200526,112069,36401,75668,0.000340,-0.005030
20200527,111793,22469,89324,-0.002466,-0.007484
20200528,111830,22368,89462,0.000335,-0.007151
20200529,112998,22368,90630,0.010444,0.000000
20200601,112926,22368,90558,-0.000639,-0.000639
20200602,113396,22368,91028,0.004166,0.000000
