stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
META,Meta,2020-04-01,158.49288940429688,2020-04-03,153.1104736328125,75,-404.0,-0.0340,ES1 손절 -3%,2
UNH,UnitedHealth,2020-04-01,216.13726806640625,2020-04-03,209.0061492919922,45,-321.0,-0.0330,ES1 손절 -3%,2
JPM,JPMorgan Chase,2020-04-08,80.90292358398438,2020-04-13,84.24024963378906,148,494.0,0.0413,ES3 트레일링스탑,2
LLY,Eli Lilly,2020-04-01,127.35994720458984,2020-04-16,144.45396423339844,94,1607.0,0.1342,ES2 익절 +12%,10
COST,Costco,2020-04-03,264.4574279785156,2020-04-21,276.07470703125,18,209.0,0.0439,ES3 트레일링스탑,11
V,Visa,2020-04-23,159.3755645751953,2020-04-24,160.27598571777344,76,68.0,0.0056,ES4 데드크로스,1
JPM,JPMorgan Chase,2020-04-28,81.75225067138672,2020-05-04,79.04975891113281,150,-405.0,-0.0331,ES1 손절 -3%,4
CRM,Salesforce,2020-04-08,149.30589294433594,2020-05-11,180.47715759277344,80,2494.0,0.2088,ES2 익절 +20%,22
AAPL,Apple,2020-04-08,64.28942108154297,2020-05-20,77.34303283691406,187,2441.0,0.2030,ES2 익절 +20%,29
NVDA,NVIDIA,2020-05-07,7.592395782470703,2020-06-10,9.334933280944824,2091,3644.0,0.2295,ES2 익절 +20%,23
MA,Mastercard,2020-04-27,256.6897888183594,2020-06-11,281.9889221191406,48,1214.0,0.0986,ES3 트레일링스탑,32
BRK-B,Berkshire Hathaway,2020-05-27,185.77000427246094,2020-06-11,178.02000427246094,75,-581.0,-0.0417,ES1 손절 -3%,11
UNH,UnitedHealth,2020-05-15,264.9894714355469,2020-06-15,260.7271423339844,49,-209.0,-0.0161,ES4 데드크로스,20
V,Visa,2020-04-27,164.529052734375,2020-06-24,183.65884399414062,75,1435.0,0.1163,ES5 보유기간 초과,41
PG,Procter & Gamble,2020-05-28,100.4946060180664,2020-06-26,99.77592468261719,1,-1.0,-0.0072,ES4 데드크로스,21
GOOGL,Alphabet,2020-06-18,71.16827392578125,2020-06-26,67.6161117553711,239,-849.0,-0.0499,ES1 손절 -3%,6
AMZN,Amazon,2020-05-11,120.44999694824219,2020-07-06,152.8520050048828,135,4374.0,0.2690,ES2 익절 +20%,38
MSFT,Microsoft,2020-06-16,184.38548278808594,2020-07-16,194.2444305419922,92,907.0,0.0535,ES3 트레일링스탑,21
CRM,Salesforce,2020-06-18,185.40725708007812,2020-07-16,183.28306579589844,42,-89.0,-0.0115,ES4 데드크로스,19
LLY,Eli Lilly,2020-06-18,151.080810546875,2020-07-24,149.6456756591797,112,-161.0,-0.0095,ES4 데드크로스,25
ABBV,AbbVie,2020-07-16,80.47000885009766,2020-07-27,78.24725341796875,222,-493.0,-0.0276,ES4 데드크로스,7
XOM,Exxon Mobil,2020-07-27,34.26154327392578,2020-07-30,32.55118942260742,518,-886.0,-0.0499,ES1 손절 -3%,3
GOOGL,Alphabet,2020-07-06,74.42020416259766,2020-07-31,73.83958435058594,238,-138.0,-0.0078,ES4 데드크로스,19
JNJ,Johnson & Johnson,2020-07-06,121.73018646240234,2020-07-31,124.09698486328125,18,43.0,0.0194,ES4 데드크로스,19
MSFT,Microsoft,2020-08-04,203.1698455810547,2020-08-11,193.7300567626953,87,-821.0,-0.0465,ES1 손절 -3%,5
JPM,JPMorgan Chase,2020-08-11,89.9383544921875,2020-08-17,86.37791442871094,191,-680.0,-0.0396,ES1 손절 -3%,4
META,Meta,2020-08-03,250.21221923828125,2020-08-26,301.80181884765625,70,3611.0,0.2062,ES2 익절 +20%,17
COST,Costco,2020-06-30,278.4317321777344,2020-08-27,318.7397155761719,61,2459.0,0.1448,ES5 보유기간 초과,41
WMT,Walmart,2020-06-30,37.015602111816406,2020-08-27,42.396331787109375,352,1894.0,0.1454,ES5 보유기간 초과,41
ABBV,AbbVie,2020-08-17,77.59491729736328,2020-08-27,75.9439468383789,205,-338.0,-0.0213,ES4 데드크로스,8
MA,Mastercard,2020-07-17,294.78472900390625,2020-08-28,354.9516296386719,25,1504.0,0.2041,ES2 익절 +20%,30
NVDA,NVIDIA,2020-08-03,10.972846031188965,2020-08-31,13.32906723022461,1601,3772.0,0.2147,ES2 익절 +20%,20
ABBV,AbbVie,2020-08-31,77.12782287597656,2020-09-01,74.28495025634766,244,-694.0,-0.0369,ES1 손절 -3%,1
AMZN,Amazon,2020-08-04,156.94149780273438,2020-09-10,158.7554931640625,3,5.0,0.0116,ES4 데드크로스,26
LLY,Eli Lilly,2020-09-02,140.95904541015625,2020-09-10,137.8203125,135,-424.0,-0.0223,ES4 데드크로스,5
WMT,Walmart,2020-08-27,42.396331787109375,2020-09-16,42.281532287597656,440,-51.0,-0.0027,ES4 데드크로스,13
PG,Procter & Gamble,2020-09-15,120.79512786865234,2020-09-16,119.98477172851562,154,-125.0,-0.0067,ES4 데드크로스,1
JPM,JPMorgan Chase,2020-08-27,88.66492462158203,2020-09-17,85.38165283203125,210,-689.0,-0.0370,ES1 손절 -3%,14
PG,Procter & Gamble,2020-09-17,119.82793426513672,2020-09-18,119.69723510742188,155,-20.0,-0.0011,ES4 데드크로스,1
BRK-B,Berkshire Hathaway,2020-08-27,216.8699951171875,2020-09-21,213.02000427246094,86,-331.0,-0.0178,ES4 데드크로스,16
HD,Home Depot,2020-09-17,246.5131378173828,2020-09-21,239.8123016357422,75,-503.0,-0.0272,ES4 데드크로스,2
LLY,Eli Lilly,2020-09-17,143.71127319335938,2020-09-28,139.59234619140625,129,-531.0,-0.0287,ES4 데드크로스,7
NVDA,NVIDIA,2020-09-30,13.488572120666504,2020-10-02,13.021772384643555,1367,-638.0,-0.0346,ES1 손절 -3%,2
AAPL,Apple,2020-10-01,113.38760375976562,2020-10-02,109.72742462158203,53,-194.0,-0.0323,ES1 손절 -3%,1
JNJ,Johnson & Johnson,2020-09-30,127.59693145751953,2020-10-19,123.68888092041016,144,-563.0,-0.0306,ES1 손절 -3%,13
V,Visa,2020-10-05,195.5928497314453,2020-10-19,189.27935791015625,28,-177.0,-0.0323,ES1 손절 -3%,10
AMZN,Amazon,2020-09-29,157.24400329589844,2020-10-22,158.82000732421875,116,183.0,0.0100,ES4 데드크로스,17
HD,Home Depot,2020-10-02,245.9407958984375,2020-10-26,243.06149291992188,74,-213.0,-0.0117,ES4 데드크로스,16
WMT,Walmart,2020-10-01,44.39777755737305,2020-10-28,43.454463958740234,1,-1.0,-0.0212,ES4 데드크로스,19
JPM,JPMorgan Chase,2020-10-06,85.70181274414062,2020-10-29,84.95863342285156,5,-4.0,-0.0087,ES4 데드크로스,17
NVDA,NVIDIA,2020-11-05,14.116121292114258,2020-11-09,13.58851146697998,257,-136.0,-0.0374,ES1 손절 -3%,2
COST,Costco,2020-09-28,321.73974609375,2020-11-10,338.0325012207031,57,929.0,0.0506,ES3 트레일링스탑,31
META,Meta,2020-11-04,285.386474609375,2020-11-10,270.5401916503906,65,-965.0,-0.0520,ES1 손절 -3%,4
MA,Mastercard,2020-11-09,334.4382019042969,2020-11-11,322.6258239746094,10,-118.0,-0.0353,ES1 손절 -3%,2
HD,Home Depot,2020-11-10,242.64764404296875,2020-11-11,244.5671844482422,77,148.0,0.0079,ES4 데드크로스,1
HD,Home Depot,2020-11-16,246.16976928710938,2020-11-18,237.59335327148438,12,-103.0,-0.0348,ES1 손절 -3%,2
PG,Procter & Gamble,2020-11-11,124.47992706298828,2020-11-20,122.05287170410156,151,-366.0,-0.0195,ES4 데드크로스,7
MSFT,Microsoft,2020-09-29,197.9031982421875,2020-11-23,201.1497802734375,92,299.0,0.0164,ES4 데드크로스,39
NVDA,NVIDIA,2020-11-17,13.380656242370605,2020-11-23,13.099279403686523,11,-3.0,-0.0210,ES4 데드크로스,4
JNJ,Johnson & Johnson,2020-11-09,125.19721984863281,2020-11-30,124.85900115966797,1,0.0,-0.0027,ES4 데드크로스,14
ABBV,AbbVie,2020-11-02,72.03949737548828,2020-12-04,87.57388305664062,252,3915.0,0.2156,ES2 익절 +20%,23
HD,Home Depot,2020-11-27,243.01744079589844,2020-12-04,233.718505859375,78,-725.0,-0.0383,ES1 손절 -3%,5
NVDA,NVIDIA,2020-12-04,13.52022933959961,2020-12-09,12.894488334655762,1416,-886.0,-0.0463,ES1 손절 -3%,3
GOOGL,Alphabet,2020-12-04,90.50418090820312,2020-12-10,87.71971893310547,211,-588.0,-0.0308,ES1 손절 -3%,4
UNH,UnitedHealth,2020-12-07,320.6356506347656,2020-12-11,310.69012451171875,6,-60.0,-0.0310,ES1 손절 -3%,4
NVDA,NVIDIA,2020-12-18,13.234782218933105,2020-12-23,12.97276782989502,16,-4.0,-0.0198,ES4 데드크로스,3
PG,Procter & Gamble,2020-12-17,121.13291931152344,2020-12-24,120.66851806640625,9,-4.0,-0.0038,ES4 데드크로스,5
JPM,JPMorgan Chase,2020-11-05,91.23631286621094,2020-12-28,109.5885238647461,206,3781.0,0.2012,ES2 익절 +20%,35
CRM,Salesforce,2020-12-24,223.06964111328125,2020-12-31,219.85867309570312,4,-13.0,-0.0144,ES4 데드크로스,4
AAPL,Apple,2020-12-01,119.35039520263672,2021-01-04,125.8567123413086,160,1041.0,0.0545,ES3 트레일링스탑,22
HD,Home Depot,2020-12-16,238.67642211914062,2021-01-04,233.65655517578125,79,-397.0,-0.0210,ES4 데드크로스,11
MSFT,Microsoft,2020-12-16,209.9287109375,2021-01-06,203.19851684570312,90,-606.0,-0.0321,ES1 손절 -3%,13
NVDA,NVIDIA,2021-01-05,13.367159843444824,2021-01-06,12.579127311706543,1436,-1132.0,-0.0590,ES1 손절 -3%,1
WMT,Walmart,2020-11-09,44.54051208496094,2021-01-08,45.66566467285156,1,1.0,0.0253,ES5 보유기간 초과,41
AMZN,Amazon,2020-11-10,151.75100708007812,2021-01-11,155.7104949951172,120,475.0,0.0261,ES5 보유기간 초과,41
