date,total_value,cash,positions_value,daily_return,drawdown
20200203,100000,100000,0,0.000000,0.000000
20200204,100000,100000,0,0.000000,0.000000
20200205,100000,85057,14943,0.000000,0.000000
20200206,100039,85057,14982,0.000389,0.000000
20200207,99914,20020,79894,-0.001249,-0.001249
20200210,100743,20020,80723,0.008298,0.000000
20200211,100701,20020,80681,-0.000419,-0.000419
20200212,101212,34567,66645,0.005079,0.000000
20200213,101296,34567,66728,0.000826,0.000000
20200214,102661,34567,68094,0.013478,0.000000
20200218,103157,20725,82433,0.004834,0.000000
20200219,104380,39468,64912,0.011853,0.000000
20200220,104035,20837,83198,-0.003310,-0.003310
20200221,103213,34195,69018,-0.007898,-0.011182
20200224,101241,66515,34726,-0.019106,-0.030074
20200225,100143,85426,14717,-0.010849,-0.040597
20200226,100064,100064,0,-0.000784,-0.041348
20200227,100064,100064,0,0.000000,-0.041348
20200228,100064,100064,0,0.000000,-0.041348
20200302,100064,100064,0,0.000000,-0.041348
20200303,100064,100064,0,0.000000,-0.041348
20200304,100064,100064,0,0.000000,-0.041348
20200305,100064,100064,0,0.000000,-0.041348
20200306,100064,100064,0,0.000000,-0.041348
20200309,100064,100064,0,0.000000,-0.041348
20200310,100064,100064,0,0.000000,-0.041348
20200311,100064,100064,0,0.000000,-0.041348
20200312,100064,100064,0,0.000000,-0.041348
20200313,100064,100064,0,0.000000,-0.041348
20200316,100064,100064,0,0.000000,-0.041348
20200317,100064,100064,0,0.000000,-0.041348
20200318,100064,100064,0,0.000000,-0.041348
20200319,100064,90340,9724,0.000000,-0.041348
20200320,99435,99435,0,-0.006293,-0.047381
20200323,99435,99435,0,0.000000,-0.047381
20200324,99435,94487,4947,0.000000,-0.047381
20200325,99296,89526,9770,-0.001391,-0.048707
20200326,99708,89526,10182,0.004152,-0.044757
20200327,99476,89526,9950,-0.002330,-0.046983
20200330,99899,89979,9919,0.004248,-0.042935
20200331,99872,89979,9893,-0.000264,-0.043187
20200401,99684,89979,9704,-0.001890,-0.044995
20200402,99916,89979,9937,0.002335,-0.042766
20200403,99796,89979,9816,-0.001207,-0.043921
20200406,100097,89979,10118,0.003018,-0.041035
20200407,100142,89979,10163,0.000453,-0.040601
20200408,100376,54039,46337,0.002337,-0.038359
20200409,101790,54039,47751,0.014088,-0.024812
20200413,101561,66507,35054,-0.002255,-0.027011
20200414,103125,72329,30796,0.015405,-0.012022
20200415,102845,72329,30516,-0.002718,-0.014708
20200416,103186,72329,30857,0.003316,-0.011440
20200417,103541,77909,25631,0.003436,-0.008044
20200420,103286,77909,25377,-0.002455,-0.010479
20200421,101935,77909,24026,-0.013081,-0.023422
20200422,102568,77909,24658,0.006202,-0.017365
20200423,102328,65637,36691,-0.002336,-0.019661
20200424,102935,77978,24956,0.005929,-0.013848
20200427,103232,53318,49915,0.002891,-0.010998
20200428,102713,41055,61659,-0.005025,-0.015968
20200429,105574,41055,64519,0.027849,0.000000
20200430,105072,41055,64017,-0.004752,-0.004752
20200501,103579,41055,62524,-0.014215,-0.018899
20200504,104090,52912,51177,0.004932,-0.014060
20200505,104813,52912,51901,0.006950,-0.007208
20200506,104938,52912,52025,0.001190,-0.006026
20200507,106134,36999,69135,0.011399,0.000000
20200508,107688,36999,70689,0.014641,0.000000
20200511,108806,35176,73630,0.010385,0.000000
20200512,107025,35176,71849,-0.016371,-0.016371
20200513,106595,35176,71419,-0.004018,-0.020323
20200514,107998,35176,72822,0.013161,-0.007430
20200515,109279,21927,87353,0.011866,0.000000
20200518,111447,21927,89521,0.019839,0.000000
20200519,111333,21927,89406,-0.001027,-0.001027
20200520,112931,36390,76541,0.014354,0.000000
20200521,111685,36390,75296,-0.011029,-0.011029
20200522,112328,36390,75939,0.005757,-0.005336
20200526,112369,36390,75980,0.000365,-0.004972
20200527,112100,22457,89643,-0.002396,-0.007356
20200528,112138,22457,89681,0.000335,-0.007024
20200529,113308,22457,90851,0.010441,0.000000
20200601,113236,22457,90779,-0.000642,-0.000642
20200602,113706,22457,91249,0.004152,0.000000
20200603,114151,22457,91694,0.003911,0.000000
20200604,113296,22457,90839,-0.007483,-0.007483
20200605,115959,22457,93502,0.023502,0.000000
20200608,115886,22457,93430,-0.000626,-0.000626
20200609,116497,22457,94040,0.005269,0.000000
20200610,117160,42023,75137,0.005690,0.000000
20200611,112689,68910,43779,-0.038162,-0.038162
20200612,112909,68910,43999,0.001957,-0.036280
20200615,113112,81946,31165,0.001791,-0.034554
20200616,113480,64983,48497,0.003254,-0.031412
20200617,113761,64983,48778,0.002478,-0.029012
20200618,114056,22858,91198,0.002595,-0.026492
20200619,113710,22858,90852,-0.003038,-0.029450
20200622,115209,22858,92351,0.013184,-0.016654
20200623,115815,22858,92957,0.005264,-0.011477
20200624,114017,36632,77385,-0.015523,-0.026822
20200625,115209,36632,78577,0.010453,-0.016650
20200626,113283,52860,60423,-0.016721,-0.033092
20200629,113378,52860,60518,0.000845,-0.032275
