stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
PG,Procter & Gamble,2020-02-05,109.07544708251953,2020-02-12,106.18537139892578,137,-396.0,-0.0265,ES4 데드크로스,5
NVDA,NVIDIA,2020-02-07,6.261779308319092,2020-02-19,7.832512855529785,2393,3759.0,0.2508,ES2 익절 +20%,7
META,Meta,2020-02-18,216.2891387939453,2020-02-21,208.72201538085938,64,-484.0,-0.0350,ES1 손절 -3%,3
JPM,JPMorgan Chase,2020-02-07,116.47210693359375,2020-02-24,112.21808624267578,128,-545.0,-0.0365,ES1 손절 -3%,10
CRM,Salesforce,2020-02-20,191.038818359375,2020-02-24,183.70790100097656,81,-594.0,-0.0384,ES1 손절 -3%,2
PG,Procter & Gamble,2020-02-20,108.87763214111328,2020-02-24,106.05634307861328,29,-82.0,-0.0259,ES4 데드크로스,2
V,Visa,2020-02-07,193.9239959716797,2020-02-25,180.4685516357422,77,-1036.0,-0.0694,ES1 손절 -3%,11
BRK-B,Berkshire Hathaway,2020-02-07,227.3800048828125,2020-02-25,218.0500030517578,23,-215.0,-0.0410,ES1 손절 -3%,11
WMT,Walmart,2020-02-07,35.67109680175781,2020-02-26,34.85321044921875,420,-344.0,-0.0229,ES4 데드크로스,12
COST,Costco,2020-03-19,279.638671875,2020-03-20,266.0791015625,17,-231.0,-0.0485,ES1 손절 -3%,1
LLY,Eli Lilly,2020-03-19,124.25110626220703,2020-03-20,114.2710952758789,40,-399.0,-0.0803,ES1 손절 -3%,1
NVDA,NVIDIA,2020-03-25,6.116849422454834,2020-03-30,6.614175319671631,811,403.0,0.0813,ES2 익절 +8%,3
JPM,JPMorgan Chase,2020-04-08,80.90291595458984,2020-04-13,84.24028015136719,148,494.0,0.0413,ES3 트레일링스탑,2
AMZN,Amazon,2020-03-24,97.00499725341797,2020-04-14,114.16600036621094,51,875.0,0.1769,ES2 익절 +12%,14
LLY,Eli Lilly,2020-03-30,129.24581909179688,2020-04-17,146.84393310546875,38,669.0,0.1362,ES2 익절 +12%,13
V,Visa,2020-04-23,159.3755645751953,2020-04-24,160.2759552001953,77,69.0,0.0056,ES4 데드크로스,1
JPM,JPMorgan Chase,2020-04-28,81.75225830078125,2020-05-04,79.0497817993164,150,-405.0,-0.0331,ES1 손절 -3%,4
CRM,Salesforce,2020-04-08,149.30587768554688,2020-05-11,180.47715759277344,80,2494.0,0.2088,ES2 익절 +20%,22
AAPL,Apple,2020-04-08,64.28941345214844,2020-05-20,77.34303283691406,187,2441.0,0.2030,ES2 익절 +20%,29
NVDA,NVIDIA,2020-05-07,7.592394828796387,2020-06-10,9.334931373596191,2096,3652.0,0.2295,ES2 익절 +20%,23
MA,Mastercard,2020-04-27,256.6897277832031,2020-06-11,281.98883056640625,48,1214.0,0.0986,ES3 트레일링스탑,32
BRK-B,Berkshire Hathaway,2020-05-27,185.77000427246094,2020-06-11,178.02000427246094,75,-581.0,-0.0417,ES1 손절 -3%,11
UNH,UnitedHealth,2020-05-15,264.98944091796875,2020-06-15,260.72723388671875,50,-213.0,-0.0161,ES4 데드크로스,20
V,Visa,2020-04-27,164.52906799316406,2020-06-24,183.65882873535156,75,1435.0,0.1163,ES5 보유기간 초과,41
GOOGL,Alphabet,2020-06-18,71.16826629638672,2020-06-26,67.6161117553711,240,-853.0,-0.0499,ES1 손절 -3%,6
