date,total_value,cash,positions_value,daily_return,drawdown
20240102,99995,64091,35903,-0.000054,0.000000
20240103,100101,49479,50622,0.001062,0.000000
20240104,99949,49479,50470,-0.001518,-0.001518
20240105,100046,49479,50567,0.000975,-0.000545
20240108,100438,34421,66017,0.003916,0.000000
20240109,100679,34421,66258,0.002404,0.000000
20240110,101240,20341,80899,0.005567,0.000000
20240111,101401,20341,81059,0.001587,0.000000
20240112,101788,20341,81447,0.003820,0.000000
20240116,101849,20341,81508,0.000601,0.000000
20240117,101536,20341,81195,-0.003073,-0.003073
20240118,101961,20341,81620,0.004186,0.000000
20240119,103090,20341,82748,0.011068,0.000000
20240122,103230,20341,82889,0.001360,0.000000
20240123,103782,20341,83441,0.005350,0.000000
20240124,104374,20341,84032,0.005699,0.000000
20240125,104859,20341,84517,0.004647,0.000000
20240126,105103,21086,84017,0.002332,0.000000
20240129,105795,21086,84709,0.006582,0.000000
20240130,106242,23242,83000,0.004225,0.000000
20240131,105295,23242,82053,-0.008911,-0.008911
20240201,106024,23242,82781,0.006917,-0.002056
20240202,106565,23242,83323,0.005104,0.000000
20240205,107218,21974,85244,0.006127,0.000000
20240206,107471,21974,85497,0.002362,0.000000
20240207,108450,21974,86475,0.009107,0.000000
20240208,108792,21974,86818,0.003161,0.000000
20240209,108842,21974,86868,0.000452,0.000000
20240212,108754,21828,86927,-0.000803,-0.000803
20240213,108127,39363,68765,-0.005766,-0.006564
20240214,108468,39363,69105,0.003148,-0.003436
20240215,109293,39504,69789,0.007610,0.000000
20240216,109249,39504,69745,-0.000399,-0.000399
20240220,109262,37778,71484,0.000115,-0.000284
20240221,109882,37778,72105,0.005678,0.000000
20240222,110480,22199,88280,0.005435,0.000000
20240223,110729,22199,88530,0.002260,0.000000
20240226,110276,22199,88077,-0.004093,-0.004093
20240227,110363,22199,88163,0.000785,-0.003311
20240228,110797,22199,88598,0.003933,0.000000
20240229,110890,22199,88691,0.000841,0.000000
20240301,111098,31835,79263,0.001878,0.000000
20240304,110597,31835,78762,-0.004509,-0.004509
20240305,110518,31835,78683,-0.000712,-0.005218
20240306,110687,31835,78852,0.001524,-0.003702
20240307,110849,31835,79014,0.001465,-0.002242
20240308,110668,31835,78833,-0.001634,-0.003872
20240311,110488,47809,62679,-0.001626,-0.005491
20240312,110880,47809,63071,0.003548,-0.001962
20240313,111160,22422,88737,0.002521,0.000000
20240314,111115,22422,88693,-0.000399,-0.000399
20240315,110766,22422,88344,-0.003141,-0.003539
20240318,111717,38658,73059,0.008585,0.000000
20240319,112213,22581,89632,0.004440,0.000000
20240320,113075,22581,90494,0.007679,0.000000
20240321,113641,22581,91059,0.005003,0.000000
20240322,113273,22581,90692,-0.003231,-0.003231
20240325,112734,22581,90152,-0.004764,-0.007979
20240326,112674,35018,77656,-0.000534,-0.008509
20240327,113443,43530,69913,0.006830,-0.001737
20240328,113542,44527,69014,0.000870,-0.000869
20240401,113251,44527,68724,-0.002557,-0.003424
20240402,112835,59812,53023,-0.003678,-0.007090
20240403,112602,43011,69591,-0.002064,-0.009140
20240404,110747,60062,50686,-0.016472,-0.025461
20240405,111574,43791,67783,0.007470,-0.018181
20240408,111496,43791,67705,-0.000699,-0.018867
20240409,111627,43791,67835,0.001168,-0.017721
20240410,111470,43791,67679,-0.001401,-0.019097
20240411,112171,59670,52501,0.006284,-0.012933
20240412,111334,58748,52586,-0.007456,-0.020293
20240415,110446,42300,68145,-0.007982,-0.028113
20240416,109979,42300,67679,-0.004222,-0.032216
20240417,109770,42300,67470,-0.001903,-0.034058
20240418,109446,58173,51272,-0.002957,-0.036914
20240419,108716,74394,34322,-0.006670,-0.043338
20240422,108645,74394,34251,-0.000647,-0.043957
20240423,108700,74088,34612,0.000505,-0.043474
20240424,108814,74088,34726,0.001051,-0.042469
20240425,108420,58075,50345,-0.003622,-0.045937
20240426,110403,78531,31872,0.018287,-0.028490
20240429,110182,62006,48176,-0.001997,-0.030430
20240430,109597,29383,80214,-0.005315,-0.035584
20240501,108630,45135,63495,-0.008822,-0.044092
20240502,108773,45099,63674,0.001315,-0.042835
20240503,109607,28758,80849,0.007668,-0.035495
20240506,110529,22206,88323,0.008412,-0.027382
20240507,111414,22206,89209,0.008012,-0.019590
20240508,111327,22206,89121,-0.000784,-0.020358
20240509,111857,22206,89652,0.004765,-0.015691
20240510,111845,22206,89639,-0.000110,-0.015799
20240513,111927,22206,89722,0.000735,-0.015075
20240514,112132,22206,89926,0.001824,-0.013279
20240515,113669,22206,91463,0.013709,0.000000
20240516,113524,22206,91318,-0.001276,-0.001276
20240517,113640,22206,91434,0.001022,-0.000256
20240520,113672,22206,91467,0.000287,0.000000
20240521,114152,22206,91946,0.004221,0.000000
20240522,114258,22206,92052,0.000927,0.000000
20240523,113247,22206,91042,-0.008845,-0.008845
20240524,113379,22206,91173,0.001161,-0.007694
20240528,112872,60264,52607,-0.004473,-0.012133
20240529,112831,60264,52567,-0.000358,-0.012487
20240530,113192,60264,52928,0.003199,-0.009328
20240531,113274,60264,53010,0.000725,-0.008609
20240603,113785,26163,87623,0.004512,-0.004137
20240604,114063,26163,87901,0.002442,-0.001705
20240605,114706,26163,88543,0.005636,0.000000
20240606,115254,23177,92076,0.004774,0.000000
20240607,115968,23177,92791,0.006201,0.000000
20240610,115985,23177,92808,0.000143,0.000000
20240611,116977,23665,93311,0.008550,0.000000
20240612,117659,26324,91335,0.005832,0.000000
20240613,118150,26324,91826,0.004172,0.000000
20240614,118488,26324,92164,0.002863,0.000000
20240617,119347,45245,74102,0.007246,0.000000
20240618,119768,27338,92430,0.003528,0.000000
20240620,119598,24055,95543,-0.001418,-0.001418
20240621,119739,24055,95684,0.001181,-0.000239
20240624,119814,24055,95759,0.000625,0.000000
20240625,119262,24055,95207,-0.004604,-0.004604
20240626,119522,23947,95575,0.002175,-0.002439
20240627,119292,45939,73353,-0.001923,-0.004357
20240628,119225,63419,55806,-0.000558,-0.004913
