stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
JNJ,Johnson & Johnson,2024-01-02,149.80943455505368,2024-01-26,149.07081170654297,80,-61.0,-0.0049,ES4 데드크로스,17
NVDA,NVIDIA,2024-01-08,52.27613137817382,2024-01-30,62.6763013343811,288,2993.0,0.1989,ES2 익절 +20%,15
GOOGL,Alphabet,2024-01-10,141.35424098205564,2024-02-05,142.4599365234375,1,1.0,0.0078,ES4 데드크로스,17
LLY,Eli Lilly,2024-01-03,608.7441834106445,2024-02-13,730.7350252075196,24,2925.0,0.2004,ES2 익절 +20%,28
GOOGL,Alphabet,2024-02-12,146.57008393859863,2024-02-15,141.55765672302246,1,-5.0,-0.0342,ES1 손절 -3%,3
MSFT,Microsoft,2024-01-10,376.66419073486327,2024-02-20,396.304470703125,37,724.0,0.0521,ES3 트레일링스탑,27
PG,Procter & Gamble,2024-01-02,140.53500215148924,2024-03-01,150.7334235534668,85,865.0,0.0726,ES5 보유기간 초과,41
BRK-B,Berkshire Hathaway,2024-01-02,362.82245144653314,2024-03-01,406.70287536621095,33,1446.0,0.1209,ES5 보유기간 초과,41
AMZN,Amazon,2024-03-01,178.39822122192382,2024-03-11,171.7880467071533,93,-617.0,-0.0371,ES1 손절 -3%,6
JNJ,Johnson & Johnson,2024-02-20,148.95590548706053,2024-03-18,147.6223867034912,110,-149.0,-0.0090,ES4 데드크로스,19
XOM,Exxon Mobil,2024-01-26,95.53558754730224,2024-03-26,106.31168797302246,117,1259.0,0.1128,ES5 보유기간 초과,41
V,Visa,2024-03-13,281.2069208679199,2024-03-27,274.62155740356445,31,-205.0,-0.0234,ES4 데드크로스,10
JPM,JPMorgan Chase,2024-01-30,169.03678784179687,2024-03-28,191.69698136901854,94,2127.0,0.1341,ES5 보유기간 초과,41
HD,Home Depot,2024-02-22,353.99881729125974,2024-04-02,347.42240194702146,44,-292.0,-0.0186,ES4 데드크로스,27
COST,Costco,2024-02-05,705.0989868774413,2024-04-04,697.4761420898437,2,-15.0,-0.0108,ES5 보유기간 초과,41
ABBV,AbbVie,2024-03-28,170.1669299163818,2024-04-04,156.58396669006348,100,-1361.0,-0.0798,ES1 손절 -3%,4
BRK-B,Berkshire Hathaway,2024-03-19,412.1717697753906,2024-04-11,407.20237536621096,39,-196.0,-0.0121,ES4 데드크로스,16
META,Meta,2024-04-05,524.7617863769531,2024-04-12,508.37950881958005,31,-510.0,-0.0312,ES1 손절 -3%,5
AAPL,Apple,2024-04-15,171.3036856536865,2024-04-18,165.36797479248048,96,-572.0,-0.0347,ES1 손절 -3%,3
AMZN,Amazon,2024-04-03,182.59241366577143,2024-04-19,174.4553748779297,92,-751.0,-0.0446,ES1 손절 -3%,12
COST,Costco,2024-04-12,725.077135986328,2024-04-19,702.0574936523437,23,-532.0,-0.0317,ES1 손절 -3%,5
UNH,UnitedHealth,2024-04-19,483.92774972534176,2024-04-23,468.55288970947265,33,-510.0,-0.0318,ES1 손절 -3%,2
GOOGL,Alphabet,2024-03-13,138.88044091796874,2024-04-26,170.48990766906738,120,3790.0,0.2276,ES2 익절 +20%,31
NVDA,NVIDIA,2024-04-30,86.4443138885498,2024-05-01,82.91564332580566,190,-673.0,-0.0408,ES1 손절 -3%,1
LLY,Eli Lilly,2024-04-30,771.1243579101562,2024-05-02,744.7651094970703,21,-556.0,-0.0342,ES1 손절 -3%,2
V,Visa,2024-04-25,271.36456881713866,2024-05-28,267.2018909912109,59,-248.0,-0.0153,ES4 데드크로스,22
JNJ,Johnson & Johnson,2024-05-03,140.850411239624,2024-05-28,137.06307133483887,116,-442.0,-0.0269,ES4 데드크로스,16
CRM,Salesforce,2024-05-06,272.9496178588867,2024-05-28,266.6721173400879,24,-152.0,-0.0230,ES4 데드크로스,15
BRK-B,Berkshire Hathaway,2024-06-03,415.20479855346673,2024-06-11,408.0915,41,-294.0,-0.0171,ES4 데드크로스,6
AAPL,Apple,2024-04-29,172.1071922149658,2024-06-12,211.22333390808106,96,3752.0,0.2273,ES2 익절 +20%,31
COST,Costco,2024-04-23,716.5207365722655,2024-06-17,860.1720479736329,22,3157.0,0.2005,ES2 익절 +20%,38
LLY,Eli Lilly,2024-05-02,746.2561307373046,2024-06-27,897.1638887329102,21,3166.0,0.2022,ES2 익절 +20%,38
V,Visa,2024-06-20,273.5069373168945,2024-06-27,262.8730637512207,12,-128.0,-0.0389,ES1 손절 -3%,5
PG,Procter & Gamble,2024-06-18,161.3023613128662,2024-06-28,157.5037613067627,111,-424.0,-0.0235,ES4 데드크로스,7
