date,total_value,cash,positions_value,daily_return,drawdown
20071001,100000,88026,11974,0.000000,0.000000
20071002,100027,73079,26948,0.000267,0.000000
20071003,100067,73079,26988,0.000403,0.000000
20071004,100039,73079,26960,-0.000284,-0.000284
20071005,100364,73079,27285,0.003253,0.000000
20071008,100570,73079,27491,0.002056,0.000000
20071009,100399,73079,27320,-0.001700,-0.001700
20071010,100634,73079,27555,0.002338,0.000000
20071011,100755,73079,27676,0.001199,0.000000
20071012,100938,73079,27859,0.001815,0.000000
20071015,100719,73079,27640,-0.002164,-0.002164
20071016,100647,73079,27568,-0.000720,-0.002883
20071017,100991,69630,31361,0.003419,0.000000
20071018,100848,69630,31218,-0.001410,-0.001410
20071019,99823,83954,15869,-0.010167,-0.011563
20071022,99711,83954,15757,-0.001124,-0.012674
20071023,99872,68977,30894,0.001613,-0.011081
20071024,99724,68977,30747,-0.001473,-0.012538
20071025,99763,68977,30786,0.000391,-0.012152
20071026,99525,68977,30548,-0.002391,-0.014514
20071029,99662,68977,30685,0.001380,-0.013154
20071030,99711,83666,16045,0.000484,-0.012677
20071031,100174,83666,16508,0.004651,-0.008085
20071101,100036,83666,16370,-0.001381,-0.009455
20071102,100129,83666,16463,0.000935,-0.008529
20071105,100260,83666,16594,0.001307,-0.007233
20071106,100397,83666,16731,0.001362,-0.005881
20071107,100507,83666,16841,0.001099,-0.004789
20071108,100440,68617,31822,-0.000670,-0.005455
20071109,99954,68617,31336,-0.004839,-0.010268
20071112,100188,53593,46595,0.002342,-0.007950
20071113,101000,38450,62549,0.008105,0.000000
20071114,100765,20163,80602,-0.002323,-0.002323
20071115,100349,20163,80186,-0.004132,-0.006445
20071116,101020,20163,80857,0.006689,0.000000
20071119,100551,34624,65927,-0.004639,-0.004639
20071120,100568,34624,65944,0.000160,-0.004480
20071121,99851,37694,62158,-0.007120,-0.011568
20071123,100230,22682,77549,0.003794,-0.007819
20071126,99726,22504,77222,-0.005029,-0.012809
20071127,100968,22504,78464,0.012449,-0.000519
20071128,102395,20509,81886,0.014135,0.000000
20071129,102598,20520,82078,0.001987,0.000000
20071130,102600,20521,82078,0.000015,0.000000
20071203,102248,20521,81727,-0.003430,-0.003430
20071204,102839,20521,82318,0.005782,0.000000
20071205,103463,20521,82942,0.006066,0.000000
20071206,104468,20521,83946,0.009712,0.000000
20071207,104397,20521,83875,-0.000679,-0.000679
20071210,104435,20521,83913,0.000363,-0.000317
20071211,103118,20521,82597,-0.012609,-0.012922
20071212,103681,20521,83159,0.005458,-0.007535
20071213,103925,20521,83403,0.002355,-0.005197
20071214,102729,36908,65822,-0.011505,-0.016643
20071217,101786,51668,50118,-0.009180,-0.025670
20071218,101977,51668,50309,0.001876,-0.023842
20071219,102016,69085,32931,0.000385,-0.023466
20071220,102152,69085,33067,0.001332,-0.022166
20071221,102568,69085,33483,0.004073,-0.018183
20071224,102591,53699,48892,0.000223,-0.017964
20071226,102723,22900,79823,0.001281,-0.016706
20071227,102439,20498,81941,-0.002764,-0.019424
20071228,102868,20498,82370,0.004192,-0.015313
20071231,101775,20498,81277,-0.010630,-0.025780
20080102,101691,37688,64003,-0.000817,-0.026576
20080103,101554,39688,61867,-0.001347,-0.027887
20080104,99020,68353,30667,-0.024960,-0.052151
20080107,99106,68353,30753,0.000872,-0.051325
20080108,98925,68827,30098,-0.001823,-0.053055
20080109,99333,68827,30506,0.004122,-0.049151
20080110,99355,68827,30528,0.000226,-0.048936
20080111,99338,69422,29916,-0.000175,-0.049103
20080114,99451,69422,30029,0.001140,-0.048019
20080115,99254,54536,44717,-0.001989,-0.049912
20080116,99395,54536,44859,0.001424,-0.048559
20080117,98961,54536,44425,-0.004366,-0.052713
20080118,98356,68751,29605,-0.006113,-0.058504
20080122,98646,53552,45094,0.002944,-0.055732
20080123,99968,38558,61409,0.013402,-0.043077
20080124,99179,38558,60621,-0.007889,-0.050626
20080125,97981,41126,56855,-0.012076,-0.062090
20080128,97875,29404,68470,-0.001089,-0.063111
20080129,98877,29404,69473,0.010242,-0.053516
20080130,98429,29404,69025,-0.004529,-0.057802
20080131,100773,29404,71369,0.023814,-0.035365
20080201,101211,29404,71807,0.004341,-0.031178
20080204,100103,44803,55301,-0.010942,-0.041779
20080205,99151,57357,41794,-0.009514,-0.050895
20080206,98699,68611,30088,-0.004561,-0.055224
20080207,99012,68611,30401,0.003176,-0.052223
20080208,98844,84058,14786,-0.001699,-0.053834
20080211,99015,79117,19897,0.001727,-0.052200
20080212,99028,79117,19911,0.000137,-0.052071
20080213,99512,89495,10017,0.004892,-0.047434
20080214,99414,65648,33766,-0.000992,-0.048379
20080215,98800,77128,21672,-0.006173,-0.054253
20080219,98816,69935,28881,0.000158,-0.054103
20080220,98877,69935,28943,0.000623,-0.053514
20080221,98651,69935,28716,-0.002291,-0.055682
20080222,98819,69935,28885,0.001708,-0.054069
20080225,99253,69935,29318,0.004385,-0.049921
20080226,99408,58012,41397,0.001570,-0.048430
20080227,99184,58012,41172,-0.002262,-0.050582
20080228,98933,46142,52791,-0.002524,-0.052978
20080229,97650,69018,28632,-0.012974,-0.065265
20080303,97816,69018,28798,0.001703,-0.063673
20080304,97723,80739,16983,-0.000953,-0.064566
20080305,97841,80739,17101,0.001207,-0.063437
20080306,97453,85678,11775,-0.003961,-0.067147
20080307,97172,97172,0,-0.002888,-0.069841
20080310,97172,97172,0,0.000000,-0.069841
20080311,97172,92314,4857,0.000000,-0.069841
20080312,97064,92314,4749,-0.001110,-0.070873
20080313,97062,87465,9597,-0.000017,-0.070889
20080314,96902,87267,9635,-0.001647,-0.072419
20080317,96929,87267,9662,0.000279,-0.072161
20080318,97268,87267,10001,0.003495,-0.068918
20080319,97096,87267,9829,-0.001771,-0.070567
20080320,97345,75603,21742,0.002570,-0.068179
20080324,97773,75603,22170,0.004396,-0.064082
20080325,97673,52192,45481,-0.001028,-0.065045
20080326,97015,57251,39763,-0.006738,-0.071345
20080327,95899,79406,16493,-0.011496,-0.082020
20080328,95745,67738,28007,-0.001607,-0.083496
20080331,95909,67738,28171,0.001713,-0.081926
20080401,96608,44577,52031,0.007286,-0.075237
20080402,96396,44577,51819,-0.002198,-0.077269
20080403,96171,44577,51594,-0.002330,-0.079419
20080404,96056,55540,40516,-0.001192,-0.080517
20080407,96153,55540,40613,0.001011,-0.079588
20080408,96050,55540,40510,-0.001072,-0.080574
20080409,95858,55540,40318,-0.002002,-0.082415
20080410,96256,55540,40716,0.004151,-0.078606
20080411,95196,55540,39655,-0.011015,-0.088755
20080414,94985,66598,28387,-0.002210,-0.090769
20080415,94998,77827,17170,0.000131,-0.090650
20080416,95235,66437,28798,0.002498,-0.088378
20080417,95387,71361,24027,0.001599,-0.086920
20080418,95629,36957,58672,0.002534,-0.084606
20080421,95747,25474,70273,0.001232,-0.083478
20080422,95914,25474,70441,0.001747,-0.081877
20080423,96500,25474,71027,0.006110,-0.076267
20080424,96438,25046,71392,-0.000645,-0.076863
20080425,96464,25046,71418,0.000269,-0.076615
20080428,96059,36121,59937,-0.004202,-0.080496
20080429,95921,36121,59799,-0.001435,-0.081815
20080430,96391,36121,60269,0.004899,-0.077317
20080501,97303,24525,72777,0.009461,-0.068588
20080502,96983,24525,72457,-0.003289,-0.071651
