stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
LLY,Eli Lilly,2007-10-01,34.30979537963867,2007-10-17,33.52107620239258,349,-275.0,-0.0230,ES4 데드크로스,12
NVDA,NVIDIA,2007-10-17,0.9062908291816711,2007-10-19,0.8570107221603394,16714,-824.0,-0.0544,ES1 손절 -3%,2
UNH,UnitedHealth,2007-10-23,38.012638092041016,2007-10-30,37.28102493286133,394,-288.0,-0.0192,ES4 데드크로스,5
LLY,Eli Lilly,2007-11-14,31.468467712402344,2007-11-19,30.127384185791016,480,-644.0,-0.0426,ES1 손절 -3%,3
WMT,Walmart,2007-11-14,10.6443452835083,2007-11-21,10.266725540161133,299,-113.0,-0.0355,ES1 손절 -3%,5
COST,Costco,2007-11-08,46.019630432128906,2007-11-26,45.190189361572266,327,-271.0,-0.0180,ES4 데드크로스,11
BRK-B,Berkshire Hathaway,2007-10-02,79.93000030517578,2007-11-29,92.76000213623047,187,2399.0,0.1605,ES5 보유기간 초과,41
NVDA,NVIDIA,2007-11-29,0.7591387629508972,2007-11-30,0.7229239344596863,2584,-94.0,-0.0477,ES1 손절 -3%,1
AMZN,Amazon,2007-11-26,4.065000057220459,2007-12-14,4.453999996185303,3679,1431.0,0.0957,ES3 트레일링스탑,14
GOOGL,Alphabet,2007-11-29,17.3116397857666,2007-12-17,16.621904373168945,888,-612.0,-0.0398,ES1 손절 -3%,12
PG,Procter & Gamble,2007-11-13,42.29872512817383,2007-12-19,43.132076263427734,358,298.0,0.0197,ES4 데드크로스,25
MA,Mastercard,2007-11-30,18.304941177368164,2007-12-19,19.371402740478516,102,109.0,0.0583,ES3 트레일링스탑,13
GOOGL,Alphabet,2007-12-26,17.65538787841797,2008-01-02,17.018310546875,872,-556.0,-0.0361,ES1 손절 -3%,4
PG,Procter & Gamble,2007-12-27,43.669898986816406,2008-01-02,42.736087799072266,55,-51.0,-0.0214,ES4 데드크로스,3
COST,Costco,2007-11-28,46.398101806640625,2008-01-03,46.49508285522461,43,4.0,0.0021,ES4 데드크로스,24
AAPL,Apple,2007-12-24,5.956646919250488,2008-01-04,5.394839286804199,2583,-1451.0,-0.0943,ES1 손절 -3%,7
AMZN,Amazon,2007-12-26,4.642499923706055,2008-01-04,4.439499855041504,3318,-674.0,-0.0437,ES1 손절 -3%,6
XOM,Exxon Mobil,2007-11-23,46.04936218261719,2008-01-08,46.967308044433594,326,299.0,0.0199,ES4 데드크로스,30
JNJ,Johnson & Johnson,2007-11-12,38.52349853515625,2008-01-11,39.68089294433594,390,451.0,0.0300,ES5 보유기간 초과,41
LLY,Eli Lilly,2008-01-08,33.26652145385742,2008-01-18,31.87198257446289,446,-622.0,-0.0419,ES1 손절 -3%,8
JNJ,Johnson & Johnson,2008-01-11,39.68089294433594,2008-01-22,38.155147552490234,375,-572.0,-0.0385,ES1 손절 -3%,6
JPM,JPMorgan Chase,2008-01-23,29.001272201538086,2008-01-25,27.68187713623047,517,-682.0,-0.0455,ES1 손절 -3%,2
HD,Home Depot,2008-01-22,17.86861228942871,2008-02-04,18.597288131713867,828,603.0,0.0408,ES3 트레일링스탑,9
MA,Mastercard,2008-01-25,17.65966033935547,2008-02-05,18.878469467163086,665,811.0,0.0690,ES3 트레일링스탑,7
COST,Costco,2008-01-28,45.968624114990234,2008-02-06,44.13292694091797,255,-468.0,-0.0399,ES1 손절 -3%,7
WMT,Walmart,2008-01-15,10.80267333984375,2008-02-08,11.209583282470703,1378,561.0,0.0377,ES3 트레일링스탑,17
BRK-B,Berkshire Hathaway,2008-01-22,91.37999725341797,2008-02-13,95.36000061035156,161,641.0,0.0436,ES5 보유기간 초과,16
AMZN,Amazon,2008-02-14,3.7899999618530273,2008-02-15,3.6480000019073486,3147,-447.0,-0.0375,ES1 손절 -3%,1
CRM,Salesforce,2008-02-11,13.535538673400879,2008-02-19,12.713032722473145,365,-300.0,-0.0608,ES1 손절 -3%,5
WMT,Walmart,2008-02-26,11.816498756408691,2008-02-29,11.400394439697266,1009,-420.0,-0.0352,ES1 손절 -3%,3
HD,Home Depot,2008-02-28,17.558128356933594,2008-02-29,16.823110580444336,676,-497.0,-0.0419,ES1 손절 -3%,1
JNJ,Johnson & Johnson,2008-02-19,37.2139778137207,2008-03-04,36.860599517822266,318,-112.0,-0.0095,ES4 데드크로스,10
PG,Procter & Gamble,2008-02-13,39.79764938354492,2008-03-06,39.50660705566406,125,-36.0,-0.0073,ES4 데드크로스,15
XOM,Exxon Mobil,2008-02-14,44.81285095214844,2008-03-07,43.2099494934082,266,-426.0,-0.0358,ES1 손절 -3%,15
MSFT,Microsoft,2008-03-11,21.026775360107422,2008-03-14,20.07884407043457,231,-219.0,-0.0451,ES1 손절 -3%,3
AAPL,Apple,2008-03-13,3.833467483520508,2008-03-26,4.346433162689209,1265,649.0,0.1338,ES2 익절 +12%,8
JPM,JPMorgan Chase,2008-03-20,29.159847259521484,2008-03-26,27.980022430419922,400,-472.0,-0.0405,ES1 손절 -3%,3
CRM,Salesforce,2008-03-25,15.057053565979004,2008-03-27,13.987548828125,778,-832.0,-0.0710,ES1 손절 -3%,2
GOOGL,Alphabet,2008-03-26,11.380230903625488,2008-03-27,11.02977466583252,1022,-358.0,-0.0308,ES1 손절 -3%,1
COST,Costco,2008-03-25,46.23201370239258,2008-03-28,44.690738677978516,253,-390.0,-0.0333,ES1 손절 -3%,3
NVDA,NVIDIA,2008-03-28,0.45108258724212646,2008-04-04,0.4304538369178772,25470,-525.0,-0.0457,ES1 손절 -3%,5
BRK-B,Berkshire Hathaway,2008-03-28,89.04000091552734,2008-04-14,85.72000122070312,129,-428.0,-0.0373,ES1 손절 -3%,11
CRM,Salesforce,2008-04-01,15.1212739944458,2008-04-15,14.659384727478027,766,-354.0,-0.0305,ES1 손절 -3%,10
PG,Procter & Gamble,2008-03-14,39.643211364746094,2008-04-17,40.36017608642578,122,87.0,0.0181,ES4 데드크로스,23
AMZN,Amazon,2008-04-18,4.005000114440918,2008-04-24,3.884500026702881,2865,-345.0,-0.0301,ES1 손절 -3%,4
MSFT,Microsoft,2008-04-18,21.5438289642334,2008-04-28,20.818517684936523,532,-386.0,-0.0337,ES1 손절 -3%,6
XOM,Exxon Mobil,2008-04-01,45.58287811279297,2008-05-07,46.52574920654297,254,239.0,0.0207,ES5 보유기간 초과,26
BRK-B,Berkshire Hathaway,2008-05-01,89.19999694824219,2008-05-07,85.25,130,-513.0,-0.0443,ES1 손절 -3%,4
HD,Home Depot,2008-04-24,18.491243362426758,2008-05-08,17.85186004638672,625,-400.0,-0.0346,ES1 손절 -3%,10
JPM,JPMorgan Chase,2008-04-21,28.924314498901367,2008-05-12,30.209697723388672,397,510.0,0.0444,ES3 트레일링스탑,15
WMT,Walmart,2008-05-14,13.326189041137695,2008-05-19,13.082633018493652,859,-209.0,-0.0183,ES4 데드크로스,3
COST,Costco,2008-04-16,46.68330383300781,2008-05-20,49.67197799682617,244,729.0,0.0640,ES3 트레일링스탑,24
HD,Home Depot,2008-05-16,18.606340408325195,2008-05-20,17.500192642211914,614,-679.0,-0.0595,ES1 손절 -3%,2
GOOGL,Alphabet,2008-04-18,13.39752197265625,2008-05-21,13.660300254821777,856,225.0,0.0196,ES4 데드크로스,23
AMZN,Amazon,2008-05-19,4.114500045776367,2008-05-21,3.9149999618530273,2770,-553.0,-0.0485,ES1 손절 -3%,2
LLY,Eli Lilly,2008-05-19,29.95354652404785,2008-05-23,28.768217086791992,380,-450.0,-0.0396,ES1 손절 -3%,4
XOM,Exxon Mobil,2008-05-16,48.75932693481445,2008-05-27,47.249244689941406,234,-353.0,-0.0310,ES1 손절 -3%,6
