date,total_value,cash,positions_value,daily_return,drawdown
20230103,99993,52218,47775,-0.000072,0.000000
20230104,100790,40173,60616,0.007967,0.000000
20230105,100247,28425,71822,-0.005382,-0.005382
20230106,102081,28425,73656,0.018296,0.000000
20230109,102341,28425,73915,0.002542,0.000000
20230110,102626,28425,74201,0.002789,0.000000
20230111,102897,27882,75015,0.002639,0.000000
20230112,103410,27882,75528,0.004984,0.000000
20230113,103860,27882,75978,0.004355,0.000000
20230117,103177,27882,75295,-0.006581,-0.006581
20230118,101801,27882,73919,-0.013333,-0.019826
20230119,101398,27882,73517,-0.003955,-0.023703
20230120,102965,53077,49889,0.015455,-0.008615
20230123,103265,53077,50188,0.002912,-0.005728
20230124,103248,53077,50171,-0.000170,-0.005897
20230125,103555,53077,50478,0.002978,-0.002936
20230126,103712,53077,50636,0.001518,-0.001422
20230127,104404,40537,63867,0.006669,0.000000
20230130,103737,40537,63200,-0.006390,-0.006390
20230131,104338,28236,76102,0.005793,-0.000633
20230201,104724,28236,76489,0.003705,0.000000
20230202,104852,38915,65937,0.001218,0.000000
20230203,104469,51288,53182,-0.003652,-0.003652
20230206,104354,66220,38135,-0.001098,-0.004746
20230207,104685,66220,38466,0.003171,-0.001590
20230208,104374,66220,38154,-0.002971,-0.004556
20230209,104151,35246,68904,-0.002141,-0.006688
20230210,104432,20922,83511,0.002703,-0.004003
20230213,105141,20922,84220,0.006788,0.000000
20230214,104834,20922,83912,-0.002924,-0.002924
20230215,104083,20922,83161,-0.007166,-0.010069
20230216,103040,35575,67465,-0.010020,-0.019988
20230217,102367,49023,53344,-0.006528,-0.026386
20230221,101867,49023,52843,-0.004888,-0.031145
20230222,101564,49023,52541,-0.002969,-0.034021
20230223,101892,49023,52869,0.003228,-0.030903
20230224,101902,49023,52879,0.000096,-0.030810
20230227,102301,49023,53278,0.003916,-0.027015
20230228,102338,49023,53315,0.000361,-0.026664
20230301,102218,85918,16300,-0.001168,-0.027801
20230302,102123,73737,28386,-0.000932,-0.028707
20230303,102277,73737,28539,0.001506,-0.027245
20230306,102020,49692,52328,-0.002513,-0.029689
20230307,101464,37567,63896,-0.005451,-0.034978
20230308,101127,25499,75628,-0.003318,-0.038180
20230309,99766,64071,35695,-0.013460,-0.051126
20230310,99213,87503,11710,-0.005540,-0.056382
20230313,99368,87503,11866,0.001566,-0.054905
20230314,99534,75551,23983,0.001664,-0.053332
20230315,99818,27975,71843,0.002857,-0.050628
20230316,101540,27975,73565,0.017252,-0.034249
20230317,101132,27975,73157,-0.004019,-0.038130
20230320,101385,27975,73409,0.002497,-0.035728
20230321,102291,27975,74315,0.008937,-0.027110
20230322,101528,20739,80789,-0.007454,-0.034363
20230323,102500,20521,81979,0.009567,-0.025124
20230324,103244,20521,82723,0.007263,-0.018043
20230327,102331,20521,81810,-0.008842,-0.026726
20230328,101941,20424,81517,-0.003808,-0.030432
20230329,102578,20424,82154,0.006249,-0.024374
20230330,103168,20424,82744,0.005750,-0.018764
20230331,104417,20424,83993,0.012103,-0.006888
20230403,105300,20424,84876,0.008456,0.000000
20230404,105474,20424,85050,0.001649,0.000000
20230405,105573,20424,85149,0.000946,0.000000
20230406,107075,20424,86651,0.014224,0.000000
20230410,106405,20424,85981,-0.006259,-0.006259
20230411,105812,20424,85388,-0.005569,-0.011793
20230412,105965,20424,85541,0.001443,-0.010367
20230413,107857,20424,87433,0.017858,0.000000
20230414,107595,20424,87171,-0.002427,-0.002427
20230417,106974,20424,86550,-0.005778,-0.008192
20230418,106576,28084,78492,-0.003721,-0.011883
20230419,106644,21322,85321,0.000638,-0.011252
20230420,106431,27868,78562,-0.001997,-0.013226
20230421,106720,27868,78852,0.002722,-0.010540
20230424,106693,27868,78825,-0.000256,-0.010794
20230425,105816,27868,77948,-0.008217,-0.018922
20230426,106236,40331,65905,0.003968,-0.015029
20230427,107023,24440,82583,0.007408,-0.007732
20230428,107652,50504,57148,0.005872,-0.001906
20230501,107735,34338,73397,0.000772,-0.001136
20230502,106726,21492,85234,-0.009367,-0.010492
20230503,106116,37002,69114,-0.005714,-0.016146
20230504,105688,37002,68686,-0.004032,-0.020113
20230505,106935,34636,72298,0.011796,-0.008554
20230508,107410,47722,59689,0.004447,-0.004145
20230509,106964,31802,75162,-0.004154,-0.008282
20230510,108187,21653,86534,0.011435,0.000000
20230511,108753,21922,86831,0.005226,0.000000
20230512,108162,35790,72372,-0.005433,-0.005433
20230515,108990,35790,73200,0.007654,0.000000
20230516,109255,21931,87324,0.002433,0.000000
20230517,110508,21931,88577,0.011471,0.000000
20230518,112036,22417,89619,0.013825,0.000000
20230519,111246,22364,88882,-0.007051,-0.007051
20230522,111046,22590,88456,-0.001800,-0.008838
20230523,110033,22039,87994,-0.009118,-0.017875
20230524,110351,22039,88312,0.002890,-0.015037
20230525,114730,26832,87898,0.039683,0.000000
20230526,116899,23445,93455,0.018908,0.000000
20230530,117355,23445,93910,0.003897,0.000000
20230531,117174,23701,93473,-0.001546,-0.001546
20230601,117498,23571,93926,0.002765,0.000000
20230602,118183,23571,94612,0.005831,0.000000
20230605,118139,23571,94568,-0.000369,-0.000369
20230606,118062,23571,94491,-0.000651,-0.001020
20230607,116429,23328,93102,-0.013830,-0.014836
20230608,117374,23328,94047,0.008115,-0.006841
20230609,117375,23328,94047,0.000005,-0.006837
20230612,118665,23328,95337,0.010989,0.000000
20230613,118943,23328,95615,0.002345,0.000000
20230614,119368,23328,96041,0.003578,0.000000
20230615,120973,23328,97645,0.013443,0.000000
20230616,120226,23328,96899,-0.006172,-0.006172
20230620,120039,23328,96712,-0.001557,-0.007720
20230621,119433,23328,96105,-0.005053,-0.012734
20230622,120500,23328,97173,0.008940,-0.003908
20230623,120309,42516,77793,-0.001585,-0.005486
20230626,119693,42516,77177,-0.005124,-0.010582
20230627,120589,59614,60975,0.007490,-0.003172
20230628,120813,59614,61199,0.001857,-0.001320
20230629,120656,59614,61042,-0.001298,-0.002617
20230630,121713,24420,97293,0.008759,0.000000
20230703,121685,24420,97265,-0.000234,-0.000234
20230705,121416,24420,96996,-0.002206,-0.002440
20230706,120473,40711,79762,-0.007772,-0.010193
20230707,120042,40857,79185,-0.003573,-0.013730
20230710,119530,40857,78673,-0.004264,-0.017935
20230711,120014,69923,50091,0.004042,-0.013965
20230712,120506,69923,50584,0.004105,-0.009918
20230713,120669,69923,50746,0.001348,-0.008583
20230714,121057,24264,96793,0.003217,-0.005394
20230717,122124,24264,97860,0.008816,0.000000
20230718,122393,24264,98129,0.002201,0.000000
20230719,122330,24452,97878,-0.000516,-0.000516
20230720,121226,32576,88650,-0.009024,-0.009535
20230721,120953,24411,96542,-0.002251,-0.011764
20230724,121721,24411,97309,0.006348,-0.005490
20230725,122115,24411,97704,0.003241,-0.002267
20230726,122041,24411,97630,-0.000608,-0.002874
20230727,121584,24411,97173,-0.003744,-0.006607
20230728,122596,24411,98184,0.008320,0.000000
20230731,122628,42756,79871,0.000262,0.000000
20230801,122362,42756,79606,-0.002165,-0.002165
20230802,121311,24658,96653,-0.008594,-0.010741
20230803,121566,24658,96908,0.002104,-0.008660
20230804,122831,24658,98173,0.010407,0.000000
20230807,124079,42849,81230,0.010161,0.000000
20230808,124720,42849,81870,0.005162,0.000000
20230809,124110,24981,99129,-0.004889,-0.004889
20230810,124086,24981,99105,-0.000193,-0.005081
20230811,124529,24981,99548,0.003571,-0.001528
20230814,125215,24981,100234,0.005508,0.000000
20230815,123993,24981,99012,-0.009760,-0.009760
20230816,123198,44004,79193,-0.006413,-0.016111
20230817,122263,76366,45897,-0.007590,-0.023579
20230818,122520,76366,46154,0.002106,-0.021522
20230821,122744,76366,46379,0.001831,-0.019730
20230822,122499,57999,64499,-0.002003,-0.021693
20230823,123305,24699,98606,0.006584,-0.015252
20230824,122489,24699,97791,-0.006615,-0.021767
20230825,122713,24570,98144,0.001829,-0.019978
20230828,123432,24723,98709,0.005858,-0.014237
20230829,124867,25007,99860,0.011626,-0.002777
20230830,125512,25007,100505,0.005160,0.000000
20230831,125651,25007,100643,0.001107,0.000000
20230901,125786,25007,100779,0.001081,0.000000
20230905,125406,25007,100399,-0.003024,-0.003024
20230906,125111,25007,100103,-0.002355,-0.005373
20230907,124831,25007,99824,-0.002236,-0.007596
20230908,124957,25007,99950,0.001012,-0.006593
20230911,125192,25007,100185,0.001878,-0.004727
20230912,124701,43012,81688,-0.003923,-0.008632
20230913,124809,25001,99808,0.000870,-0.007770
20230914,124690,25001,99689,-0.000956,-0.008718
