stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
JNJ,Johnson & Johnson,2023-01-03,161.95754159545896,2023-01-11,158.63149291992187,74,-248.0,-0.0205,ES4 데드크로스,6
BRK-B,Berkshire Hathaway,2023-01-03,310.21991366577146,2023-01-20,309.5601251220703,38,-27.0,-0.0021,ES4 데드크로스,12
CRM,Salesforce,2023-01-03,133.29517984008788,2023-01-20,149.2849070892334,90,1437.0,0.1200,ES2 익절 +12%,12
AMZN,Amazon,2023-01-11,95.1850863342285,2023-02-02,112.79709365844727,129,2270.0,0.1850,ES2 익절 +12%,15
UNH,UnitedHealth,2023-01-31,473.03973635864253,2023-02-02,445.2739458618164,26,-724.0,-0.0587,ES1 손절 -3%,2
WMT,Walmart,2023-01-27,46.0970267753601,2023-02-03,45.49447996902466,272,-166.0,-0.0131,ES4 데드크로스,5
HD,Home Depot,2023-02-02,315.1525146789551,2023-02-06,304.785089263916,49,-510.0,-0.0329,ES1 손절 -3%,2
LLY,Eli Lilly,2023-02-09,333.5446372070312,2023-02-16,318.5955142822266,46,-690.0,-0.0448,ES1 손절 -3%,5
XOM,Exxon Mobil,2023-02-10,106.88447239685057,2023-02-17,100.37495029449462,134,-874.0,-0.0609,ES1 손절 -3%,5
JPM,JPMorgan Chase,2023-01-03,125.05363964843748,2023-03-01,132.63909397888185,96,726.0,0.0607,ES5 보유기간 초과,39
V,Visa,2023-01-04,207.6382169189453,2023-03-01,213.24453456115722,58,323.0,0.0270,ES5 보유기간 초과,38
MA,Mastercard,2023-01-05,345.4666425170898,2023-03-01,347.0343321533203,34,52.0,0.0045,ES5 보유기간 초과,37
ABBV,AbbVie,2023-02-09,133.55369309997556,2023-03-09,132.076775390625,117,-175.0,-0.0111,ES4 데드크로스,19
CRM,Salesforce,2023-03-02,184.53444775390622,2023-03-09,176.39799513244628,66,-539.0,-0.0441,ES1 손절 -3%,5
MA,Mastercard,2023-03-06,360.9398945007324,2023-03-09,347.9571754760742,33,-430.0,-0.0360,ES1 손절 -3%,3
META,Meta,2023-03-06,183.8009879760742,2023-03-10,178.0865057373047,66,-379.0,-0.0311,ES1 손절 -3%,4
GOOGL,Alphabet,2023-03-07,93.24929933166503,2023-03-10,89.86040517425538,130,-442.0,-0.0363,ES1 손절 -3%,3
UNH,UnitedHealth,2023-03-22,452.2146412963867,2023-04-18,478.7968164367676,16,424.0,0.0588,ES3 트레일링스탑,18
NVDA,NVIDIA,2023-04-19,27.935712293624874,2023-04-20,27.05441188430786,242,-214.0,-0.0315,ES1 손절 -3%,1
META,Meta,2023-03-15,196.5746130981445,2023-04-26,207.739486038208,60,668.0,0.0568,ES3 트레일링스탑,29
LLY,Eli Lilly,2023-03-15,322.5620163879394,2023-04-28,386.78564822387693,37,2374.0,0.1991,ES2 익절 +20%,31
ABBV,AbbVie,2023-03-15,138.36773695373535,2023-04-28,136.70211978149413,86,-145.0,-0.0120,ES4 데드크로스,31
NVDA,NVIDIA,2023-05-01,28.91488186073303,2023-05-03,27.751132678985595,559,-653.0,-0.0402,ES1 손절 -3%,2
AAPL,Apple,2023-03-08,150.83765290832517,2023-05-05,170.92029350280762,80,1605.0,0.1331,ES5 보유기간 초과,41
CRM,Salesforce,2023-05-02,191.70458985900876,2023-05-08,195.32881343078614,67,241.0,0.0189,ES4 데드크로스,4
GOOGL,Alphabet,2023-03-14,93.35856986999511,2023-05-11,115.5801354675293,128,2842.0,0.2380,ES2 익절 +20%,41
MSFT,Microsoft,2023-03-15,259.5585851745605,2023-05-12,301.520443359375,46,1928.0,0.1617,ES5 보유기간 초과,41
XOM,Exxon Mobil,2023-03-28,96.81605680084228,2023-05-16,93.27580959320068,1,-4.0,-0.0366,ES1 손절 -3%,34
PG,Procter & Gamble,2023-05-16,145.31040266418455,2023-05-18,142.03098358154296,96,-317.0,-0.0226,ES4 데드크로스,2
COST,Costco,2023-05-11,484.0295054321289,2023-05-19,477.89382019042966,30,-186.0,-0.0127,ES4 데드크로스,6
V,Visa,2023-03-23,217.8106411437988,2023-05-22,226.3021883239746,1,8.0,0.0390,ES5 보유기간 초과,41
NVDA,NVIDIA,2023-05-05,28.684839426040647,2023-05-25,37.9105111656189,559,5154.0,0.3216,ES2 익절 +20%,14
HD,Home Depot,2023-05-23,275.5353919677734,2023-05-25,267.34902154541015,2,-16.0,-0.0297,ES4 데드크로스,2
JPM,JPMorgan Chase,2023-05-19,130.78101046752928,2023-05-26,128.4190750579834,110,-262.0,-0.0181,ES4 데드크로스,5
HD,Home Depot,2023-05-26,273.56421499633785,2023-05-31,266.17487338256836,64,-475.0,-0.0270,ES4 데드크로스,2
CRM,Salesforce,2023-05-09,198.96373384094235,2023-06-01,210.13390928649903,80,891.0,0.0561,ES3 트레일링스탑,16
META,Meta,2023-04-27,237.14202597045895,2023-06-23,286.4404151916504,67,3300.0,0.2079,ES2 익절 +20%,39
JPM,JPMorgan Chase,2023-06-01,129.27757066345214,2023-06-27,130.53847453308106,131,163.0,0.0098,ES4 데드크로스,17
XOM,Exxon Mobil,2023-06-30,97.77467895507812,2023-07-06,93.63975650024415,174,-722.0,-0.0423,ES1 손절 -3%,3
JNJ,Johnson & Johnson,2023-06-07,146.21059394836425,2023-07-07,146.5904454345703,1,0.0,0.0026,ES4 데드크로스,20
AMZN,Amazon,2023-05-10,110.30019244384765,2023-07-11,128.65121878051758,92,1687.0,0.1664,ES5 보유기간 초과,41
MSFT,Microsoft,2023-05-25,319.39524804687494,2023-07-11,325.1630978393555,53,303.0,0.0181,ES4 데드크로스,30
AAPL,Apple,2023-05-18,172.961744644165,2023-07-19,192.38736085510254,76,1474.0,0.1123,ES5 보유기간 초과,41
GOOGL,Alphabet,2023-07-14,124.60394876861571,2023-07-20,118.18780808258056,145,-933.0,-0.0515,ES1 손절 -3%,4
AMZN,Amazon,2023-07-14,134.814672668457,2023-07-20,129.83004670715331,70,-350.0,-0.0370,ES1 손절 -3%,4
COST,Costco,2023-05-31,493.355319732666,2023-07-31,539.6373737182618,34,1571.0,0.0938,ES5 보유기간 초과,41
WMT,Walmart,2023-06-07,48.63411485671997,2023-08-07,51.931289279937744,2,7.0,0.0678,ES5 보유기간 초과,41
NVDA,NVIDIA,2023-07-14,45.481383365631096,2023-08-07,45.33860343933105,399,-60.0,-0.0031,ES4 데드크로스,16
AMZN,Amazon,2023-08-02,128.33821672058104,2023-08-16,134.93493731689452,141,927.0,0.0514,ES3 트레일링스탑,10
UNH,UnitedHealth,2023-07-19,480.9799195861816,2023-08-17,470.7368607788086,30,-309.0,-0.0213,ES4 데드크로스,21
PG,Procter & Gamble,2023-07-20,141.36238204956052,2023-08-17,142.53237377929688,128,147.0,0.0083,ES4 데드크로스,20
LLY,Eli Lilly,2023-07-21,453.5290953063964,2023-08-28,543.7933698120117,18,1623.0,0.1990,ES2 익절 +20%,26
JPM,JPMorgan Chase,2023-06-30,136.66324485778807,2023-08-29,140.46167738342285,133,502.0,0.0278,ES5 보유기간 초과,41
NVDA,NVIDIA,2023-08-22,45.6804309387207,2023-09-12,44.79623101043701,402,-358.0,-0.0194,ES4 데드크로스,14
V,Visa,2023-08-09,235.06933767700193,2023-09-19,238.76601512145996,76,278.0,0.0157,ES4 데드크로스,28
