date,total_value,cash,positions_value,daily_return,drawdown
20240102,100000000,100000000,0,0.000000,0.000000
20240103,100000000,100000000,0,0.000000,0.000000
20240104,100000000,100000000,0,0.000000,0.000000
20240105,100000000,100000000,0,0.000000,0.000000
20240108,100000000,100000000,0,0.000000,0.000000
20240109,100000000,100000000,0,0.000000,0.000000
20240110,100000000,100000000,0,0.000000,0.000000
20240111,100000000,100000000,0,0.000000,0.000000
20240112,100000000,100000000,0,0.000000,0.000000
20240115,100000000,100000000,0,0.000000,0.000000
20240116,100000000,100000000,0,0.000000,0.000000
20240117,100000000,100000000,0,0.000000,0.000000
20240118,100000000,100000000,0,0.000000,0.000000
20240119,100000000,100000000,0,0.000000,0.000000
20240122,100000000,100000000,0,0.000000,0.000000
20240123,100000000,100000000,0,0.000000,0.000000
20240124,100000000,100000000,0,0.000000,0.000000
20240125,100000000,100000000,0,0.000000,0.000000
20240126,100000000,100000000,0,0.000000,0.000000
20240129,100000000,100000000,0,0.000000,0.000000
20240130,100000000,100000000,0,0.000000,0.000000
20240131,100000000,100000000,0,0.000000,0.000000
20240201,100000000,100000000,0,0.000000,0.000000
20240202,100000000,100000000,0,0.000000,0.000000
20240205,100000000,97287500,2712500,0.000000,0.000000
20240206,100035000,91465000,8570000,0.000350,0.000000
20240207,100041000,74048900,25992100,0.000060,0.000000
20240208,100498850,76775900,23722950,0.004577,0.000000
20240209,100647600,82650400,17997200,0.001480,0.000000
20240213,100933050,82650400,18282650,0.002836,0.000000
20240214,100825950,82650400,18175550,-0.001061,-0.001061
20240215,100984350,83323250,17661100,0.001571,0.000000
20240216,101008750,82968950,18039800,0.000242,0.000000
20240219,101050750,89011250,12039500,0.000416,0.000000
20240220,101136700,86215250,14921450,0.000851,0.000000
20240221,101149500,83243750,17905750,0.000127,0.000000
20240222,101206800,86222750,14984050,0.000566,0.000000
20240223,101104600,92162150,8942450,-0.001010,-0.001010
20240226,101184200,92162150,9022050,0.000787,-0.000223
20240227,101049200,92055650,8993550,-0.001334,-0.001557
20240228,100947900,91891650,9056250,-0.001002,-0.002558
20240229,101070400,89388900,11681500,0.001213,-0.001348
20240301,101216900,86522400,14694500,0.001449,0.000000
20240304,101372600,89881400,11491200,0.001538,0.000000
20240305,101301900,83848100,17453800,-0.000697,-0.000697
20240306,101392600,83415100,17977500,0.000895,0.000000
20240307,101428000,80613600,20814400,0.000349,0.000000
20240308,101443400,80551600,20891800,0.000152,0.000000
20240311,101214200,80691000,20523200,-0.002259,-0.002259
20240312,101364000,83870300,17493700,0.001480,-0.000783
20240313,101378300,81080300,20298000,0.000141,-0.000642
20240314,101402900,80936900,20466000,0.000243,-0.000399
20240315,101420200,78011900,23408300,0.000171,-0.000229
20240318,101235900,77860600,23375300,-0.001817,-0.002045
20240319,101145450,80363100,20782350,-0.000893,-0.002937
20240320,101059550,86261300,14798250,-0.000849,-0.003784
20240321,101253600,83896300,17357300,0.001920,-0.001871
20240322,101183000,81027300,20155700,-0.000697,-0.002567
20240325,101284850,78118800,23166050,0.001007,-0.001563
20240326,101335850,77872800,23463050,0.000504,-0.001060
20240327,101178250,80674500,20503750,-0.001555,-0.002614
20240328,100784900,86151500,14633400,-0.003888,-0.006491
20240329,101039100,86339500,14699600,0.002522,-0.003985
20240401,101147300,86339500,14807800,0.001071,-0.002919
20240402,101255600,81520700,19734900,0.001071,-0.001851
20240403,101001900,81292200,19709700,-0.002506,-0.004352
20240404,100843600,83974200,16869400,-0.001567,-0.005913
20240405,100874200,83882200,16992000,0.000303,-0.005611
20240408,100716900,80978200,19738700,-0.001559,-0.007162
20240409,100878000,78105200,22772800,0.001600,-0.005574
20240410,100925200,78001700,22923500,0.000468,-0.005108
20240411,100661700,80586000,20075700,-0.002611,-0.007706
20240412,100511450,80228500,20282950,-0.001493,-0.009187
20240415,100585550,77264500,23321050,0.000737,-0.008456
20240416,100850350,71329100,29521250,0.002633,-0.005846
20240417,100632150,74204400,26427750,-0.002164,-0.007997
20240418,100600650,73995400,26605250,-0.000313,-0.008308
20240419,100790650,74295400,26495250,0.001889,-0.006435
20240422,100718000,77056400,23661600,-0.000721,-0.007151
20240423,100780850,82974950,17805900,0.000624,-0.006531
20240424,100955200,83580450,17374750,0.001730,-0.004813
20240425,100919350,80604850,20314500,-0.000355,-0.005166
