stock_code,stock_name,entry_date,entry_price,exit_date,exit_price,quantity,pnl,pnl_pct,exit_reason,holding_days
028260,028260,2024-02-05T12:00:00,111000.0,2024-02-13T12:00:00,112000.0,27,27000.0,0.0090,TRAILING_STOP,4
055550,055550,2024-02-05T12:00:00,38300.0,2024-02-06T12:00:00,36950.0,78,-105300.0,-0.0352,STOP_LOSS,1
030200,030200,2024-02-06T12:00:00,32200.0,2024-02-16T12:00:00,35050.0,93,265050.0,0.0885,TAKE_PROFIT,6
005380,005380,2024-02-07T12:00:00,177500.0,2024-02-13T12:00:00,171000.0,16,-104000.0,-0.0366,STOP_LOSS,2
015760,015760,2024-02-07T12:00:00,21700.0,2024-02-16T12:00:00,21750.0,138,6900.0,0.0023,TRAILING_STOP,5
373220,373220,2024-02-08T12:00:00,372500.0,2024-02-15T12:00:00,366000.0,8,-52000.0,-0.0174,TRAILING_STOP,3
066570,066570,2024-02-13T12:00:00,99900.0,2024-02-15T12:00:00,96700.0,30,-96000.0,-0.0320,STOP_LOSS,2
003550,003550,2024-02-13T12:00:00,71400.0,2024-02-20T12:00:00,70600.0,42,-33600.0,-0.0112,TRAILING_STOP,5
035420,035420,2024-02-13T12:00:00,204000.0,2024-02-23T12:00:00,225000.0,14,294000.0,0.1029,TAKE_PROFIT,8
005930,005930,2024-02-14T12:00:00,70700.0,2024-02-16T12:00:00,68100.0,42,-109200.0,-0.0368,STOP_LOSS,2
012330,012330,2024-02-14T12:00:00,220000.0,2024-02-20T12:00:00,217000.0,13,-39000.0,-0.0136,TRAILING_STOP,4
018260,018260,2024-02-14T12:00:00,147500.0,2024-02-29T12:00:00,156000.0,20,170000.0,0.0576,MAX_HOLDING,11
006400,006400,2024-02-15T12:00:00,413500.0,2024-02-21T12:00:00,393000.0,7,-143500.0,-0.0496,STOP_LOSS,4
033780,033780,2024-02-15T12:00:00,84000.0,2024-03-04T12:00:00,86400.0,35,84000.0,0.0286,MAX_HOLDING,11
373220,373220,2024-02-16T12:00:00,379500.0,2024-02-27T12:00:00,381500.0,7,14000.0,0.0053,TRAILING_STOP,7
035720,035720,2024-02-21T12:00:00,34650.0,2024-02-26T12:00:00,33800.0,86,-73100.0,-0.0245,TRAILING_STOP,3
015760,015760,2024-02-22T12:00:00,22550.0,2024-03-07T12:00:00,22200.0,133,-46550.0,-0.0155,TRAILING_STOP,9
055550,055550,2024-02-23T12:00:00,38150.0,2024-03-06T12:00:00,37100.0,78,-81900.0,-0.0275,TRAILING_STOP,7
096770,096770,2024-02-23T12:00:00,136500.0,2024-03-05T12:00:00,130500.0,21,-126000.0,-0.0440,STOP_LOSS,6
